conv:people_2019072901_67:aug_0:chat_0:chataug_0| anthony chris| [person:anthony m 0-0][person:chris m 1-1]
helen| See you there Emily Later| [person:emily f 1-1][location:library s 2-2][person:emily f 3-3]

conv:people_2019080802_5:aug_0:chat_0:chataug_0| daniel stephen| [person:daniel m 0-0][person:stephen m 1-1]
stephen| Hey Daniel Jonathan Larry and Henry can t wait to catch up together this weekend Should we bbq at your place or mine| [person:daniel m 1-1][person:jonathan m 2-2][person:larry m 3-3][person:henry m 5-5][person:we g(stephen:daniel:jonathan:larry:henry) 16-16][person:your g(daniel:jonathan:larry:henry) 19-19]
daniel| Hi Stephen| [person:stephen m 1-1]
stephen| So let s say my place| [person:stephen m 4-4][location:place s 5-5]
daniel| Sounds good|
stephen| Perfect Jonathan mentioned some simple hamburgers and hot dogs but Henry really enjoyed those smoked ribs you made| [person:jonathan m 1-1][person:henry m 10-10][person:daniel m 16-16]
daniel| Larry said he would bring some potato salad You know his salad is awesome And what s a bbq without ribs| [person:larry m 0-0][person:larry m 2-2][person:stephen m 8-8][person:larry m 10-10]
stephen| Great I ll pick up the beers would you care for anything different| [person:stephen m 1-1][person:daniel m 8-8]
daniel| I m cool with beers I ll pick up some extra ice| [person:daniel m 0-0][person:daniel m 5-5]
stephen| Sounds like we have a plan See you Saturday| [person:we g(stephen:daniel:jonathan:larry:henry) 2-2][person:daniel m 7-7]

conv:people_2019080802_8:aug_0:chat_0:chataug_0| harry michelle| [person:harry m 0-0][person:michelle f 1-1]
michelle| Hey Harry| [person:harry m 1-1]
harry| I am so excited about going to Philip and Marie s party What should we take to their party| [person:harry m 0-0][person:philip m 7-7][person:marie f 9-9][person:we g(michelle:harry) 14-14][person:their g(philip:marie) 17-17]
michelle| Are you going to the party| [person:harry m 1-1]
michelle| Good question|
michelle| How about wine|
harry| Wine sounds great I can pick it up from the store tomorrow| [person:harry m 3-3][location:store s 10-10]
michelle| Ok do you know what kind they like by chance| [person:harry m 2-2][person:they g(philip:marie) 6-6]
harry| I think any white wine would work Do you want to walk to their house or drive| [person:harry m 0-0][person:michelle f 8-8][person:their g(philip:marie) 13-13][location:house s 14-14]
michelle| Sounds great Let s drive I can pick you up| [person:michelle f 5-5][person:harry m 8-8]
harry| Ok sounds good See you tomorrow at 7pm| [person:michelle f 4-4]

conv:people_2019080802_9:aug_0:chat_0:chataug_0| daniel stephen| [person:daniel m 0-0][person:stephen m 1-1]
daniel| Hey Stephan should we have the barbecue at the park this weekend| [person:stephen m 1-1][person:we g(daniel:stephen) 3-3][location:park s 9-9]
stephen| Definitely the weather looks like its going to be perfect Where should the location be|
daniel| How about the park over the car dealership that Larry works at| [location:park s 3-3][person:larry m 9-9]
stephen| Sounds great Ill ask around to see what type of chips and drinks everyone would like| [person:everyone g(daniel:stephen:larry) 13-13]
daniel| Perfect I did talk to Jonathan and he said he could bring plates and cups So that is taken care of Do you think we need anyhting else| [person:daniel m 1-1][person:jonathan m 5-5][person:jonathan m 7-7][person:jonathan m 9-9][person:stephen m 22-22][person:we g(daniel:stephen) 24-24]
stephen| Of course we ll need some meat to barbeque| [person:everyone g(daniel:stephen:larry) 2-2]
daniel| Silly me of course I can bring some hamburgers and brats Ill check to see if Henry is planning on coming this weekend is 12p m ok| [person:daniel m 1-1][person:daniel m 4-4][person:henry m 16-16]
stephen| Sounds good I ll see you then| [person:stephen m 2-2][person:daniel m 5-5]

conv:people_2019080802_10:aug_0:chat_0:chataug_0| harry michelle| [person:harry m 0-0][person:michelle f 1-1]
harry| Hey Michelle| [person:michelle f 1-1]
michelle| Hey Harry| [person:harry m 1-1]
harry| I heard you are inviting some friends to a party next week| [person:harry m 0-0][person:michelle f 2-2][person:friends g() 6-6]
michelle| Yes what should we bring to the party| [person:we g(michelle) 3-3]
harry| I was thinking we need some food maybe chips and dips| [person:harry m 0-0][person:we g(michelle) 3-3]
michelle| Excellent Should we uber there| [person:we g(michelle) 2-2][location:there u 4-4]
harry| Yeah we will have a few drinks if you are interested| [person:we g(michelle) 1-1][person:michelle f 8-8]
michelle| Of course Sounds like a party|
harry| see ya then|

conv:people_2019080802_12:aug_0:chat_0:chataug_0| nancy sandra| [person:nancy f 0-0][person:sandra f 1-1]
nancy| I m excited about having a movie night| [person:nancy f 0-0]
nancy| Ashley Susan and Barbara are going to join us| [person:ashley f 0-0][person:susan f 1-1][person:barbara f 3-3][person:us g(nancy:sandra) 8-8]
sandra| That s great Nancy| [person:nancy f 3-3]
nancy| What types of movies do you like I m thinking comedy| [person:sandra f 5-5][person:nancy f 7-7]
sandra| I love horror movies| [person:sandra f 0-0]
sandra| maybe we can find something that is both genres| [person:we g(nancy:sandra) 1-1]
nancy| Ashley and Susan both like horror so lets go see the new Scream I believe it s Scream Part 3456| [person:ashley f 0-0][person:susan f 2-2][person:nancy f 13-13]
sandra| That sounds great let s do it|
nancy| I ll pick up ashley and barbara since they live right around the corner Do you want to get Susan since she lives in your building| [person:nancy f 0-0][person:ashley f 4-4][person:barbara f 6-6][person:they g(ashley:barbara) 8-8][person:sandra f 15-15][person:susan f 19-19][person:susan f 21-21][person:sandra f 24-24]
sandra| That works great super simple|

conv:people_2019080802_14:aug_0:chat_0:chataug_0| kevin mark| [person:kevin m 0-0][person:mark m 1-1]
kevin| Hey Mark| [person:mark m 1-1]
mark| Hey Kevin How are you| [person:kevin m 1-1][person:kevin m 4-4]
kevin| I m good thanks| [person:kevin m 0-0]
kevin| You have any good recommendations for leasing a car| [person:kevin m 0-0]
mark| I was actually just talking to my friends Thomas and Gary about car leases| [person:mark m 0-0][person:mark m 6-6][person:friends g() 7-7][person:thomas m 8-8][person:gary m 10-10]
kevin| Perfect timing What d they say| [person:d_th f 4-4]
mark| Thomas had a great experience with Toyota but Gary had a bad experience with Honda| [person:thomas m 0-0][person:gary m 8-8]
kevin| Sounds like Toyota is the way to go then|
mark| Great glad I could help| [person:mark m 2-2]
kevin| Thanks so much for your insight Much appreciated| [person:mark m 4-4]

conv:people_2019080802_16:aug_0:chat_0:chataug_0| chris ryan| [person:chris m 0-0][person:ryan m 1-1]
chris| Hi Ryan| [person:ryan m 1-1]
ryan| Hey Chris How are you| [person:chris m 1-1][person:chris m 4-4]
chris| Great|
ryan| Have you spoken to Charles Paul or Andrew today| [person:chris m 1-1][person:charles m 4-4][person:paul m 5-5][person:andrew m 7-7]
chris| No not yet How was the party by the way|
ryan| It was kinda of crazy actually thats why I asked about the other guys I haven t talked to them since last night| [person:ryan m 8-8][person:ryan m 14-14][person:them g(charles:paul:andrew) 19-19]
chris| What did you guys do| [person:ryan m 2-2]
ryan| It all fancy are stuff with people walking around with food and champagne towers but I guess the big corporate guys don t get out much and had a little bit too much if you know what I mean| [person:ryan m 15-15][person:chris m 34-34][person:ryan m 37-37]
chris| Must ve been fun lol|
ryan| Charles and Paul got there kind of late so it was just Andrew and I for a little but the other two caught up quick after they got there| [person:charles m 0-0][person:paul m 2-2][location:there u 4-4][person:andrew m 12-12][person:ryan m 14-14][person:they g(charles:paul) 26-26][location:there u 28-28]
ryan| It was funny to basically see the owner of the company sloshing em back lol|
chris| I can only imagine| [person:chris m 0-0]
ryan| Im so sad you missed it though You would have had a blast| [person:chris m 3-3][person:chris m 7-7]

conv:people_2019080802_17:aug_0:chat_0:chataug_0| brandon matthew| [person:brandon m 0-0][person:matthew m 1-1]
brandon| Hi Matthew Any ideas where I should take my friend Mark while he is visiting| [person:matthew m 1-1][person:brandon m 5-5][person:brandon m 8-8][person:friend u 9-9][person:mark m 10-10][person:mark m 12-12]
matthew| I took Paul and Bryan to the Texas Road House They enjoyed the food there| [person:matthew m 0-0][person:paul m 2-2][person:bryan m 4-4][location:texas s 7-7][location:texas s 8-8][location:house s 9-9][person:they g() 10-10][location:house s 14-14]
brandon| Okay Are there any other places they like| [location:texas s 2-2][location:places g() 5-5][person:they g() 6-6]
matthew| Yeah Well non food related they enjoyed that retroarcade down by the old mall| [person:they g() 5-5][location:retro_arcade s 8-8]
brandon| Okay nice Mark really likes arcades so I think I will take him there| [person:mark m 2-2][location:arcades g() 5-5][person:brandon m 7-7][person:brandon m 9-9][person:mark m 12-12][location:arcades g() 13-13]
matthew| That s great I know it s not really your cup of tea but I don t even eat meat and I ended up at that steak house| [person:matthew m 3-3][person:brandon m 9-9][person:matthew m 14-14][person:matthew m 21-21][location:steak_house s 26-27]
brandon| Must be some delicious steak then Maybe I will take him there too| [person:brandon m 7-7][person:mark m 10-10][location:steak_house s 11-11]
matthew| You won t regret it well according to them you guys won t| [person:brandon m 0-0][person:they g() 8-8][person:brandon m 9-9]

conv:people_2019080802_20:aug_0:chat_0:chataug_0| adam roger| [person:adam m 0-0][person:roger m 1-1]
adam| Hey Roger| [person:roger m 1-1]
roger| Hey Adam| [person:adam m 1-1]
adam| Did Ann Maria and Shawn get ahold of you Looks like they are coming to see us next month| [person:ann f 1-1][person:maria f 2-2][person:shawn m 4-4][person:roger m 8-8][person:they g(ann:maria:shawn) 11-11][person:us g(adam:roger) 16-16]
roger| Yes they are what do you think we should do while they are here| [person:they g(ann:maria:shawn) 1-1][person:adam m 5-5][person:us g(adam:roger) 7-7][person:they g(ann:maria:shawn) 11-11][location:here u 13-13]
adam| Well I think they like the Flamingo Lounge down on the highway maybe we can start by going there| [person:adam m 1-1][person:they g(ann:maria:shawn) 3-3][location:flamingo_lounge s 6-7][location:highway s 11-11][person:us g(adam:roger) 13-13][location:flamingo_lounge s 18-18]
roger| Yeah definitely I think they all like pizza so we can order that one night| [person:roger m 2-2][person:they g(ann:maria:shawn) 4-4][person:us g(adam:roger) 9-9]
adam| Sounds good we can try deep dish Maybe we can get tickets to Avengers Endgame too| [person:us g(adam:roger) 2-2][person:us g(adam:roger) 8-8]
roger| Yes I think they are huge fans of Marvel so that would be fun Sounds like a plan| [person:roger m 1-1][person:they g(ann:maria:shawn) 3-3]
adam| Cool beans Talk to you closer to them coming then| [person:roger m 4-4][person:they g(ann:maria:shawn) 7-7]
roger| Sounds good Talk to you then| [person:adam m 4-4]

conv:people_2019080802_21:aug_0:chat_0:chataug_0| gary michael| [person:gary m 0-0][person:michael m 1-1]
gary| hello|
michael| Hello Gary| [person:gary m 1-1]
michael| I am really excited about our trip eager to see you guys| [person:michael m 0-0][person:our g(gary:michael) 5-5][person:gary m 10-10]
gary| Me too I spoke to Daniel and Thomas about their recent trip to DC| [person:gary m 0-0][person:gary m 2-2][person:daniel m 5-5][person:thomas m 7-7][person:their g(daniel:thomas) 9-9][location:dc s 11-11][location:dc s 13-13]
gary| They gave me some good recommendations of where to stay| [person:their g(daniel:thomas) 0-0][person:gary m 2-2]
michael| Even I spoke to Chris| [person:michael m 1-1][person:chris m 4-4]
michael| What did they say| [person:their g(daniel:thomas) 2-2]
gary| They recommended the Hyatt Hotel| [person:their g(daniel:thomas) 0-0][location:hotel s 4-4]
gary| What do you think| [person:michael m 2-2]
michael| Chris Also stayed in the Hotel He said that it was cool| [person:chris m 0-0][location:hotel s 5-5][person:chris m 6-6][location:hotel s 9-9]
michael| looks like they provides complimentary breakfast and dinner|
gary| Ok it s settled then Let s stay there| [location:hotel s 8-8]
gary| Great talking to you| [person:michael m 3-3]
gary| see you soon| [person:michael m 1-1]
michael| I am fine with hotel| [person:michael m 0-0][location:hotel s 4-4]
michael| see you soon there| [person:gary m 1-1][location:hotel s 3-3]

conv:people_2019080802_22:aug_0:chat_0:chataug_0| harry michelle| [person:harry m 0-0][person:michelle f 1-1]
harry| Hello Michelle| [person:michelle f 1-1]
michelle| Hey Harry| [person:harry m 1-1]
harry| So about the party how are we getting there| [person:we g(harry:michelle) 6-6][location:there u 8-8]
michelle| I was going to take an Uber| [person:michelle f 0-0]
harry| Can I join you I also was thinking maybe we should bring something Philip didn t specify if he wanted us to bring anything when they invited us| [person:harry m 1-1][person:michelle f 3-3][person:harry m 4-4][person:we g(harry:michelle) 9-9][person:philip m 13-13][person:philip m 18-18][person:we g(harry:michelle) 20-20]
michelle| Sure you can join me| [person:harry m 1-1][person:michelle f 4-4]
michelle| We should bring a nice bottle of wine| [person:we g(harry:michelle) 0-0]
harry| I agree What time should we meet up| [person:harry m 0-0][person:we g(harry:michelle) 5-5]
michelle| Let s meet at 8|
harry| Ok see you then| [person:michelle f 2-2]

conv:people_2019080802_23:aug_0:chat_0:chataug_0| carol mary| [person:carol f 0-0][person:mary f 1-1]
mary| Hello Carol how are things going| [person:carol f 1-1]
carol| Hi Marry| [person:mary f 1-1]
mary| So you want to visit California nice choice I bet youre having the best time with Jessica and Emily| [person:carol f 1-1][location:california s 5-5][person:mary f 8-8][person:carol f 10-10][person:jessica f 16-16][person:emily f 18-18]
carol| I would love to visit California but sometimes family gets in the way| [person:carol f 0-0][location:california s 5-5][person:family g() 8-8]
mary| Yeah I bet but if you decide to go then you should visit the Yosemite National Park| [person:mary f 1-1][person:carol f 5-5][person:carol f 10-10][location:yosemite s 14-14][location:yosemite s 16-16]
carol| FI have always wanted to fisit Yosemite National Dark| [location:yosemite s 6-6]
mary| Its really nice I bet Jessica and Emily will love it too you can always visit Disneyland| [person:mary f 3-3][person:jessica f 5-5][person:emily f 7-7][person:carol f 12-12][location:disneyland s 16-16]
carol| Jessica and Emily would definitely be surprised when we pull up DisneyLand| [person:jessica f 0-0][person:emily f 2-2][person:we g(mary:carol) 8-8][location:disneyland s 11-11]

conv:people_2019080802_25:aug_0:chat_0:chataug_0| brandon matthew| [person:brandon m 0-0][person:matthew m 1-1]
matthew| hello brandon| [person:brandon m 1-1]
matthew| i hear mark is visiting| [person:matthew m 0-0][person:mark m 2-2]
brandon| HI Matthew How s it going| [person:matthew m 1-1]
brandon| Yes he is visiting| [person:mark m 1-1]
matthew| great i was wondering if you knew about what type of things mark likes for his visit my friends bryan and paul are visiting too| [person:matthew m 1-1][person:brandon m 5-5][person:mark m 12-12][person:mark m 15-15][person:matthew m 17-17][person:bryan m 19-19][person:paul m 21-21]
brandon| We were thinking of going to the Mall He really likes doing that| [person:we g(brandon:mark) 0-0][location:mall s 7-7][person:mark m 8-8]
brandon| Would you all like to join us| [person:matthew m 1-1][person:we g(brandon:mark) 6-6]
matthew| Good idea Paul loves to shop and Bryan likes skate boards Im pretty sure the mall has a skate shop| [person:paul m 2-2][person:bryan m 7-7][location:mall s 15-15]
brandon| It does I think it s called Skate Nation That would be a blast| [person:brandon m 2-2]
matthew| Great we ll see you there| [person:we g(matthew:mark:paul:bryan) 1-1][person:brandon m 4-4][location:mall s 5-5]

conv:people_2019080802_26:aug_0:chat_0:chataug_0| harry michelle| [person:harry m 0-0][person:michelle f 1-1]
michelle| Hi Harry| [person:harry m 1-1]
harry| Hey Michelle Excited for Philip and Marie s party| [person:michelle f 1-1][person:philip m 4-4][person:marie f 6-6]
michelle| Philip and Marie are having their party tonight right| [person:philip m 0-0][person:marie f 2-2][person:their g(philip:marie) 5-5]
michelle| Sure am|
harry| Same here What do you think we should bring| [person:michelle f 4-4][person:we g(michelle:harry) 6-6]
michelle| I was going to make spinach artichoke dip Do you think you could pick up tortilla chips| [person:michelle f 0-0][person:harry m 9-9][person:harry m 11-11]
harry| Absolutely It s on sale now at the store so I can pick up a few bags If you would like I can even drive us there| [location:store s 8-8][person:harry m 10-10][person:michelle f 18-18][person:harry m 21-21][person:we g(michelle:harry) 25-25][location:store s 26-26]
michelle| That would be great How about you pick me up at 700 PM| [person:harry m 6-6][person:michelle f 8-8]
harry| Sounds like a plan Can t wait to see you I d love to hear some of your stories about your recent trip at the party| [person:michelle f 9-9][person:harry m 10-10][person:michelle f 17-17][person:michelle f 20-20]
michelle| See you at 7| [person:harry m 1-1]

conv:people_2019080802_27:aug_0:chat_0:chataug_0| amanda debra| [person:amanda f 0-0][person:debra f 1-1]
amanda| Hey Debra| [person:debra f 1-1]
debra| Hi Amanda| [person:amanda f 1-1]
amanda| Hey my brother wants to buy a car and I think you have the same model| [person:amanda f 1-1][person:david m 2-2][person:amanda f 9-9][person:debra f 11-11]
debra| Oh yeah Do you have any questions| [person:amanda f 3-3]
amanda| Yeah what do you like about it or maybe just a simple pros and cons list| [person:debra f 3-3]
debra| I like that it has a steering wheel and a gas pedal I don t like that it s not a ferrari lol| [person:debra f 0-0][person:debra f 12-12]
amanda| hahahaha do you know any technical info about it| [person:debra f 2-2]
debra| Not really but my friend Richard helped me out Do you want to pass his details to your brother David| [person:debra f 3-3][person:richard m 4-4][person:richard m 5-5][person:debra f 7-7][person:amanda f 10-10][person:amanda f 17-17][person:david m 18-18][person:david m 19-19]
amanda| Sure that d be great|
debra| Ok here s his number 69669696969| [person:david m 3-3]
amanda| Great I ll pass that on thanks Debra| [person:amanda f 1-1][person:debra f 7-7]
debra| No problem Amanda wish your brother luck| [person:amanda f 2-2][person:amanda f 4-4][person:david m 5-5]

conv:people_2019080802_29:aug_0:chat_0:chataug_0| carl jordan| [person:carl m 0-0][person:jordan m 1-1]
carl| Hey Jordan How have you been| [person:jordan m 1-1][person:jordan m 4-4]
jordan| Pretty good you| [person:carl m 2-2]
carl| Great I have a favor to ask| [person:carl m 1-1]
carl| My parent| [person:carl m 0-0][person:parent g() 1-1]
carl| My parent s Alan and Judy are visiting Dallas soon and I was wondering if you would be able to pick them up from the airport| [person:carl m 0-0][person:parent g() 1-1][person:alan m 3-3][person:judy f 5-5][person:carl m 11-11][person:jordan m 15-15][person:parent g(alan:judy) 21-21]
jordan| Of course what time are they supposed to arrive| [person:parent g(alan:judy) 5-5]
carl| They ll be getting there this weekend at 5 00 p m Their hotel is only about 20 minutes away from the airport but I believe it s on the way to your place| [person:parent g(alan:judy) 0-0][location:dallas s 4-4][person:parent g(alan:judy) 12-12][location:hotel s 13-13][location:airport s 22-22][person:carl m 24-24][person:jordan m 32-32]
jordan| That sounds good They will probably be hungry after their flight what kind of food do they like| [person:parent g(alan:judy) 3-3][person:parent g(alan:judy) 9-9][person:parent g(alan:judy) 16-16]
carl| They will eat pretty much anything but would probably prefer some good ol Texas barbque| [person:parent g(alan:judy) 0-0][location:texas s 13-13]
jordan| Haha perfect there is a great barbque place near the airport|
carl| Awesome Thank you so much I owe you one| [person:jordan m 2-2][person:carl m 5-5][person:jordan m 7-7]
jordan| No problem I will call you when i pick them up| [person:jordan m 2-2][person:carl m 5-5][person:jordan m 7-7][person:parent g(alan:judy) 9-9]
carl| Sounds good Talk to you then| [person:jordan m 4-4]

conv:people_2019080802_30:aug_0:chat_0:chataug_0| hannah ralph| [person:hannah f 0-0][person:ralph m 1-1]
hannah| Hi Ralph| [person:ralph m 1-1]
hannah| hey|
ralph| Hi|
hannah| yo remember we are to visit Jackie and Albert| [person:we g(hannah:ralph) 2-2][person:jackie f 6-6][person:albert m 8-8]
ralph| oh yeah next weekend right|
hannah| Yes I was proposing we buy them laptop bags| [person:hannah f 1-1][person:we g(hannah:ralph) 4-4][person:them g(jackie:albert) 6-6]
ralph| sounds good I know a place that sells really cute ones| [person:ralph m 2-2][location:place s 5-5]
hannah| Can we arrange we go check them out today in the afternoon| [person:we g(hannah:ralph) 1-1][person:we g(hannah:ralph) 3-3]
ralph| ok does 4pm work for you| [person:hannah f 5-5]
hannah| That is fine with me| [person:hannah f 4-4]
ralph| ok i ll meet you at the coffee place near your work| [person:ralph m 1-1][person:hannah f 4-4][location:place s 8-8][person:hannah f 10-10]

conv:people_2019080802_31:aug_0:chat_0:chataug_0| harry michelle| [person:harry m 0-0][person:michelle f 1-1]
harry| Hey Michelle what do you think we should bring to Philip and Marie s party| [person:michelle f 1-1][person:michelle f 4-4][person:we g(harry:michelle) 6-6][person:philip m 10-10][person:marie f 12-12]
michelle| I think we should I think it will be a lot more fun with them there| [person:michelle f 0-0][person:we g(harry:michelle) 2-2][person:michelle f 4-4][person:them g(philip:marie) 14-14]
harry| But what kind of food do you think we should bring Marie usually likes it if we bring snacks| [person:michelle f 6-6][person:we g(harry:michelle) 8-8][person:marie f 11-11][person:we g(harry:michelle) 16-16]
michelle| ill bring some chips|
michelle| I could also bring some wine| [person:michelle f 0-0]
harry| Okay I can bring some soda I ll get diet for Philip since I know he doesn t like regular| [person:harry m 1-1][person:harry m 6-6][person:philip m 11-11][person:harry m 13-13][person:philip m 15-15]
michelle| we can ride in my car| [person:we g(harry:michelle) 0-0][person:michelle f 4-4]
michelle| I can come pick you up| [person:michelle f 0-0][person:harry m 4-4]
harry| Okay carpooling sounds good|
harry| What time will you come by| [person:michelle f 3-3]
michelle| I could come by around 7 if thats good for you| [person:michelle f 0-0][person:harry m 10-10]
harry| That works I get off work at 630| [person:harry m 2-2]
michelle| ok that sounds great|
michelle| I will s| [person:michelle f 0-0]

conv:people_2019080802_32:aug_0:chat_0:chataug_0| amanda debra| [person:amanda f 0-0][person:debra f 1-1]
debra| Hi Debra How are you doing| [person:amanda f 1-1][person:amanda f 4-4]
amanda| I doing good Thank you for asking| [person:amanda f 0-0][person:debra f 4-4]
debra| You re welcome You called me earlier| [person:amanda f 0-0][person:amanda f 3-3][person:debra f 5-5]
amanda| Yes David is looking to buy a new car| [person:david m 1-1]
debra| Ok Which model|
amanda| The same Honda you have| [person:debra f 3-3]
debra| Nice It s a good car Has great mileage but repairs can start becoming expensive once the car starts getting old|
amanda| Good to know as I am trying to help him pick out a good car for work| [person:amanda f 4-4][person:david m 9-9]
debra| Okay The Honda will b great then|
amanda| Ok I am going to tell him Thank you for helping me| [person:amanda f 1-1][person:david m 6-6][person:debra f 8-8][person:amanda f 11-11]
debra| You are welcome You can also give David my contact details if he needs more help| [person:amanda f 0-0][person:amanda f 3-3][person:david m 7-7][person:debra f 8-8][person:david m 12-12]

conv:people_2019080802_33:aug_0:chat_0:chataug_0| carl jordan| [person:carl m 0-0][person:jordan m 1-1]
carl| Hey JMan my rents will be in dallas this weekend Can u pick them up| [person:carl m 2-2][person:jordan m 11-11][person:carl_s_parents__correct_ g() 13-13]
jordan| Yes I sure Can| [person:jordan m 1-1]
carl| Cool Thanks Bro|
jordan| What are your parents like| [person:carl m 2-2][person:carl_s_parents__correct_ g() 3-3]
carl| They re casual THey like to eat and drink| [person:carl_s_parents__correct_ g() 0-0][person:carl_s_parents__correct_ g() 3-3]
jordan| They go by Judy and Alan right So I can take them to BK and they are cool| [person:carl_s_parents__correct_ g() 0-0][person:jordan m 3-3][person:alan m 5-5][person:jordan m 8-8][person:carl_s_parents__correct_ g(alan) 11-11]
carl| Yeah That wouls be great|
jordan| Cool Sounds like I can take your parents to lunch on the way to your place| [person:jordan m 3-3][person:carl m 6-6][person:carl_s_parents__correct_ g(alan) 7-7][person:carl m 14-14][location:place s 15-15]
carl| Actaully they are going to the Hilton Is that cool| [person:carl_s_parents__correct_ g(alan) 1-1][location:hilton s 6-6]
jordan| You got it| [person:carl m 0-0]

conv:people_2019080802_34:aug_0:chat_0:chataug_0| brandon matthew| [person:brandon m 0-0][person:matthew m 1-1]
brandon| Hey Matthew| [person:matthew m 1-1]
brandon| Any ideas where I should take Mark while he s in town| [person:brandon m 3-3][person:mark m 6-6][person:mark m 8-8][location:town s 11-11]
matthew| Hey Brandon What does Mark like| [person:brandon m 1-1][person:mark m 4-4]
brandon| Mark is a beer and burgers kind of guy| [person:mark m 0-0]
brandon| He likes the movies also| [person:mark m 0-0]
matthew| Cool Paul and Bryan visited recently and they liked going to the movie theater downtown| [person:paul m 1-1][person:bryan m 3-3][person:they g(paul:bryan) 7-7][location:downtown s 14-14]
brandon| Sounds great|
matthew| They also went to a place across the street that serves beer and burgers| [person:they g(paul:bryan) 0-0][location:place s 5-5][location:street s 8-8]
matthew| Do you think he d like that| [person:brandon m 1-1][person:mark m 3-3]
brandon| Perfect|
brandon| That sounds perfect|
brandon| I ll show him around Tell Paul and Bryan I said thanks And thanks to you too| [person:brandon m 0-0][person:mark m 3-3][person:paul m 6-6][person:bryan m 8-8][person:brandon m 9-9][person:matthew m 15-15]
matthew| Perfect I hope you both have fun| [person:matthew m 1-1][person:brandon m 3-3]

conv:people_2019080802_35:aug_0:chat_0:chataug_0| emily helen| [person:emily f 0-0][person:helen f 1-1]
helen| How are you doing| [person:emily f 2-2]
emily| Not so bad and you| [person:helen f 4-4]
helen| Are you ready to study| [person:emily f 1-1]
emily| You bet Where do you think we should go I like to go to Scooter s because it s close but I don t know if that s close for Stephanie| [person:helen f 0-0][person:helen f 4-4][person:we g(helen:emily) 6-6][person:emily f 9-9][person:emily f 21-21][person:stephanie f 30-30]
helen| I know that Stephanie Stella and Amy love that place| [person:helen f 0-0][person:stephanie f 3-3][person:stella f 4-4][person:amy f 6-6][location:scooter_s s 9-9]
emily| Maybe we should meet there It s better than Starbuck s I think and they have a jukebox Not that that s important while we study but it s nice to have a choice| [person:we g(helen:emily:stephanie:stella:amy) 1-1][location:scooter_s s 4-4][location:scooter_s s 5-5][person:emily f 11-11][person:we g(helen:emily:stephanie:stella:amy) 24-24]
helen| The Starbucks is always crowded I will send a text to them to meet at 2 pm today| [location:starbuck_s s 1-1][person:helen f 5-5][person:them g(stephanie:stella:amy) 11-11]
emily| Perfect I ll see you then Bring your jukebox money| [person:emily f 1-1][person:helen f 4-4][person:helen f 7-7]

conv:people_2019080802_36:aug_0:chat_0:chataug_0| emily helen| [person:emily f 0-0][person:helen f 1-1]
helen| Emily do you know where we will meet| [person:emily f 0-0][person:emily f 2-2][person:we g(helen:emily) 5-5]
emily| Are you studying for the exam with Stephanie Amy and Stella| [person:helen f 1-1][person:stephanie f 7-7][person:amy f 8-8][person:stella f 10-10]
helen| yes that was my undestanding I was not told where when and what time| [person:helen f 3-3][person:helen f 5-5]
emily| Do you know if they like to eat at a cafe| [person:helen f 1-1][person:they g(stephanie:amy:stella) 4-4][location:cafe s 10-10]
helen| I am not sure but I m sure that would be a great place to study any suggestions| [person:helen f 0-0][person:helen f 5-5][location:cafe s 13-13]
emily| I know this great cafe on the corner We could meet on Saturday Not sure what time is good| [person:emily f 0-0][location:cafe s 4-4][person:we g(helen:emily) 8-8]
helen| Let s try for Saturday around 1100 to give everyone some time Do you mind contacting the others to confirm| [person:everyone g(helen:emily:stephanie:amy:stella) 9-9][person:helen f 13-13][person:they g(stephanie:amy:stella:everyone) 17-17]
emily| 1100 on Saturday sounds good I will contact the others to confirm Hope see you then| [person:emily f 5-5][person:they g(stephanie:amy:stella:everyone) 9-9][person:helen f 14-14]
helen| Great|

conv:people_2019080802_38:aug_0:chat_0:chataug_0| amanda debra| [person:amanda f 0-0][person:debra f 1-1]
debra| hello all|
amanda| Hi Debra| [person:debra f 1-1]
amanda| My brother David wants to buy a car the same model of yours How have you like yours| [person:amanda f 0-0][person:david m 1-1][person:david m 2-2][person:debra f 12-12][person:debra f 15-15][person:debra f 17-17]
debra| i love mine| [person:debra f 0-0][person:debra f 2-2]
debra| is he looking for an SUV| [person:david m 1-1]
amanda| Something similar yes He is still unsure though| [person:david m 3-3]
debra| what color does he want or does it even matter| [person:david m 3-3]
debra| richard helped me| [person:richard m 0-0][person:debra f 2-2]
amanda| Color really doesn t matter however I think he would want something lighter so it won t look as dirty| [person:amanda f 6-6][person:david m 8-8]
debra| you can contact him too| [person:amanda f 0-0][person:richard m 3-3]
amanda| Thanks What is his number| [person:richard m 3-3]
debra| 123456789|
amanda| I ll have to talk to him then Does David have a busy schedule| [person:amanda f 0-0][person:richard m 6-6][person:david m 9-9]
amanda| Will it be hard to reach him I want to do it as soon as possible| [person:richard m 6-6][person:amanda f 7-7]
debra| fairly but he will answer he loves to talk| [person:richard m 2-2][person:richard m 5-5]

conv:people_2019080802_40:aug_0:chat_0:chataug_0| kevin mark| [person:kevin m 0-0][person:mark m 1-1]
kevin| Hey mark im looking to lease a new car and hoping you could help me| [person:mark m 1-1][person:mark m 11-11][person:kevin m 14-14]
