conv:people_2019090101_269:aug_0:chat_0:chataug_0| april julia| [person:april f 0-0][person:julia f 1-1]
paulo| I missed having them around too I got them gifts| [person:paulo m 0-0][person:them g(larry:rachel) 3-3][person:paulo m 6-6][person:them g(larry:rachel) 8-8]
diane| Are there any gifts for me| [person:diane f 5-5]
paulo| I got you something too I hope you like it| [person:paulo m 0-0][person:diane f 2-2][person:paulo m 5-5][person:diane f 7-7]
diane| I am in the parking lot see you in a minute| [person:diane f 0-0][person:paulo m 7-7]

conv:chats_1126_38:aug_0:chat_0:chataug_0| martha william| [person:martha f 0-0][person:william m 1-1]
martha| Hey William how does a vacation in Europe sound| [person:william m 1-1][location:europe s 7-7]
william| Oh Europe would be great That sounds like a wonderful idea| [location:europe s 1-1]
martha| Yeah but I was thinking if we can take Marissa along| [person:martha f 2-2][person:martha_and_william g(martha:william) 6-6][person:marissa f 9-9]
william| But isn t she too young to travel| [person:marissa f 3-3]
martha| I think she is old enough but she might be annoying for everybody on the plane| [person:martha f 0-0][person:marissa f 2-2][person:marissa f 7-7][person:everybody g() 12-12]
william| Also I do not want her to ruin Vincent s first trip to Europe by crying throughout the whole airplane ride| [person:william m 1-1][person:marissa f 5-5][person:vincent m 8-8][location:europe s 13-13]
martha| That is exactly what I was thinking May be we can ask my sister to look after her while we are gone| [person:martha f 4-4][person:martha_and_william g(martha:william) 9-9][person:martha f 12-12][person:martha_s_sister f 13-13][person:marissa f 17-17][person:martha_and_william g(martha:william) 19-19]
william| Sounds good But will she be okay with it| [person:martha_s_sister f 4-4]
martha| I ll ask her tomorrow I think she will agree| [person:martha f 0-0][person:martha_s_sister f 3-3][person:martha f 5-5][person:martha_s_sister f 7-7]
william| Great We will finalize the trip after you talk to her| [person:martha_and_william g(martha:william) 1-1][person:martha f 7-7][person:martha_s_sister f 10-10]

conv:chats_1126_39:aug_0:chat_0:chataug_0| phil roger| [person:phil m 0-0][person:roger m 1-1]
roger| Hey Phil I am at the store What do we need for the house party| [person:phil m 1-1][person:roger m 2-2][person:we g(roger:phil) 9-9]
phil| Since Nicholas and Russell want to get the food let s buy drinks| [person:nicholas m 1-1][person:russell m 3-3]
roger| Okay what kind of food are they bringing| [person:they g(nicholas:russell) 6-6]
phil| They haven t decided Let s ask them to get chips| [person:they g(nicholas:russell) 0-0][person:they g(nicholas:russell) 7-7]
roger| Alright what kind of drinks should I get| [person:roger m 6-6]
phil| You can get a few Coronas| [person:roger m 0-0]
roger| I ll do that Do you need anything else| [person:roger m 0-0][person:phil m 5-5]
phil| No nothing else Just the Coronas|
roger| Alright I ll get home in an hour| [person:roger m 1-1][location:home s 4-4]
phil| Okay And I ll talk to Nicholas and Russell to get the chips| [person:phil m 2-2][person:nicholas m 6-6][person:russell m 8-8]

conv:chats_1126_41:aug_0:chat_0:chataug_0| bill hana| [person:bill m 0-0][person:hana f 1-1]
hana| Bill its weekend time So let s head out to the club at night What do you say| [person:bill m 0-0][location:club s 11-11][person:bill m 16-16]
bill| Yes I was about to ask you regarding the same But it would be more fun if we include more members| [person:bill m 1-1][person:hana f 6-6][person:we g(hana:bill) 17-17]
hana| Yes that s true Shall we ask our neighbor Julia and Phil to come along with us| [person:we g(hana:bill) 5-5][person:we g(hana:bill) 7-7][person:neighbor g() 8-8][person:julia f 9-9][person:phil m 11-11][person:we g(hana:bill) 16-16]
bill| That would be great to take them along with us| [person:neighbor g(julia:phil) 6-6][person:we g(hana:bill) 9-9]
hana| I like it so much to be in Julia s company I ll b very much comfortable with her| [person:hana f 0-0][person:julia f 8-8][person:hana f 11-11][person:julia f 18-18]
bill| I and Phil have the same interest So it would be a great bonding| [person:bill m 0-0][person:phil m 2-2]
bill| I think Phil has a crush on you He keeps staring at you all the time| [person:bill m 0-0][person:phil m 2-2][person:hana f 7-7][person:phil m 8-8][person:hana f 12-12]
hana| I don t think so But Julia has huge amount of crush on Phil She keeps blushing whenever he s around| [person:hana f 0-0][person:julia f 6-6][person:phil m 13-13][person:julia f 14-14][person:phil m 18-18]
bill| Wouldn t that be a moment of awkward for you people| [person:hana f 9-9]
hana| I consider tonight just for fun and there will be nothing else except we pouring our glasses full dancing till midnight| [person:hana f 0-0][person:we g(hana:bill:julia:phil) 13-13][person:we g(hana:bill:julia:phil) 15-15]

conv:chats_1126_43:aug_0:chat_0:chataug_0| michael wanda| [person:michael m 0-0][person:wanda f 1-1]
michael| Hey Wanda I m a bit tensed about tomorrow s mid term exam| [person:wanda f 1-1][person:michael m 2-2]
wanda| I m also stuck at the same position Michael I m sitting opposite to you in the library| [person:wanda f 0-0][person:michael m 8-8][person:wanda f 9-9][person:michael m 14-14]
michael| Wanda have you gone through the 3rd chapter I feel that chapter to be a quite complicated| [person:wanda f 0-0][person:wanda f 2-2][person:michael m 8-8]
wanda| Hey that s easy I think 2nd chapter is complicated than the 3rd chapter| [person:wanda f 4-4]
michael| I m going through the same material from which you re reading but I couldn t understand anything| [person:michael m 0-0][person:wanda f 9-9][person:michael m 13-13]
wanda| Yes I have gone through the material many times but I couldn t understand clearly| [person:wanda f 1-1][person:wanda f 10-10]
michael| Why don t we mail the material to Dr Smith and ask for the guidance| [person:we g(michael:wanda) 3-3][person:smith u 9-9]
wanda| I think Dr Smith won t respond so soon Why don t we mail the material to| [person:wanda f 0-0][person:smith u 3-3][person:we g(michael:wanda) 12-12]
wanda| TA Randy I guess he might help| [person:randy m 1-1][person:wanda f 2-2][person:randy m 4-4]
michael| Oh yes I guess Randy might respond sooner than Professor Smith| [person:michael m 2-2][person:randy m 4-4][person:smith u 10-10]

conv:chats_1126_44:aug_0:chat_0:chataug_0| dom sharon| [person:dom m 0-0][person:sharon f 1-1]
dom| Hey Sharon can you pick up some cigars for me on your way| [person:sharon f 1-1][person:sharon f 3-3][person:dom m 9-9][person:sharon f 11-11]
sharon| What does aunt Christina think about this| [person:christina f 2-2][person:christina f 3-3]
dom| She refused to get me cigars so I am asking you| [person:christina f 0-0][person:dom m 4-4][person:dom m 7-7][person:sharon f 10-10]
sharon| I am unhappy about it I don t think you should smoke against the doctor s orders| [person:sharon f 0-0][person:sharon f 5-5][person:dom m 9-9][person:doctor u 14-14]
dom| I don t need a lecture from you your aunt has it covered| [person:dom m 0-0][person:sharon f 7-7][person:sharon f 8-8][person:christina f 9-9]
sharon| You are ill with a lung problem I m not getting you cigars| [person:dom m 0-0][person:sharon f 7-7][person:dom m 11-11]
dom| I ll pay for your next shopping spree| [person:dom m 0-0][person:sharon f 4-4]
sharon| No I m not doing it| [person:sharon f 1-1]
dom| What if I let you use my car all the time| [person:dom m 2-2][person:sharon f 4-4][person:dom m 6-6]
sharon| No uncle Dom I won t listen to anything else| [person:dom m 2-2][person:sharon f 3-3]

conv:chats_1126_45:aug_0:chat_0:chataug_0| joyce marie| [person:joyce f 0-0][person:marie f 1-1]
marie| Hey Joyce can we plan a game today Are you feeling like playing| [person:joyce f 1-1][person:marie_and_joyce g(marie:joyce) 3-3][person:joyce f 9-9]
joyce| Nowadays my physique is not at all cooperating with me But still I would like to play a game with you| [person:joyce f 1-1][person:joyce f 9-9][person:joyce f 12-12][person:marie f 20-20]
marie| That s the spirit I ve invited Teresa and Candice for a game Do you remember what happened when we met last time| [person:marie f 4-4][person:teresa f 7-7][person:candice f 9-9][person:joyce f 14-14][person:marie_and_joyce g(marie:joyce) 19-19]
joyce| Yeah I do remember We got beaten by them last year| [person:joyce f 1-1][person:marie_and_joyce g(marie:joyce) 4-4][person:teresa_and_candice g(teresa:candice) 8-8]
marie| Do you really know why we lost that game on that day| [person:joyce f 1-1][person:marie_and_joyce g(marie:joyce) 5-5]
joyce| They played well and I was actually not fit enough to play| [person:teresa_and_candice g(teresa:candice) 0-0][person:joyce f 4-4]
marie| The only thing I understood was Teresa was very good at her services while Candice was excellent at defending As a team they played really well| [person:marie f 3-3][person:teresa f 6-6][person:teresa f 11-11][person:candice f 14-14][person:teresa_and_candice g(teresa:candice) 21-21][person:teresa_and_candice g(teresa:candice) 22-22]
joyce| So from now we should even build our skills and we should practice for long time| [person:marie_and_joyce g(marie:joyce) 3-3][person:marie_and_joyce g(marie:joyce) 7-7][person:marie_and_joyce g(marie:joyce) 10-10]
marie| Yes I want your complete commitment this time We shall start warming up| [person:marie f 1-1][person:joyce f 3-3][person:marie_and_joyce g(marie:joyce) 8-8]
joyce| Yeah sure this time I will give my best and I will give my full fledged efforts| [person:joyce f 4-4][person:joyce f 7-7][person:joyce f 10-10][person:joyce f 13-13]

conv:chats_1126_46:aug_0:chat_0:chataug_0| alan anne| [person:alan m 0-0][person:anne f 1-1]
alan| Hey Anne have you noticed Luis s unkempt yard| [person:anne f 1-1][person:anne f 3-3][person:luis m 5-5]
anne| Yeah I did just looking at it makes me sick| [person:anne f 1-1][location:luis_s_unkempt_yard s 6-6][person:anne f 8-8]
alan| Exactly there are insects and wild plants growing in it| [location:luis_s_unkempt_yard s 1-1][location:luis_s_unkempt_yard s 9-9]
anne| Imagine if those insects creep into our yards| [person:our g(alan:anne) 6-6]
alan| We put in so much effort to keep our yards clean I don t want that happening| [person:our g(alan:anne) 0-0][person:our g(alan:anne) 8-8][person:alan m 11-11]
anne| It would spoil our yards and ruin all our hard work| [location:luis_s_unkempt_yard s 0-0][person:our g(alan:anne) 3-3][person:our g(alan:anne) 8-8]
alan| I think we should talk to him about his yard| [person:alan m 0-0][person:our g(alan:anne) 2-2][person:luis m 6-6][person:luis m 8-8]
anne| You are right we should tell him how important it is to keep the yard clean| [person:alan m 0-0][person:our g(alan:anne) 3-3][person:luis m 6-6][location:luis_s_unkempt_yard s 9-9]
alan| Yes he needs to know that his yard will only get worse with time| [person:luis m 1-1][person:luis m 6-6]
anne| We will talk to him once he gets home| [person:our g(alan:anne) 0-0][person:luis m 4-4][person:luis m 6-6][location:home s 8-8]

conv:chats_1126_47:aug_0:chat_0:chataug_0| anthony ed| [person:anthony m 0-0][person:ed m 1-1]
anthony| Hi Ed Where are you now I want to ask you something| [person:ed m 1-1][person:ed m 4-4][person:anthony m 6-6][person:ed m 10-10]
ed| Hello Anthony I came out Tell me what is the matter| [person:anthony m 1-1][person:ed m 2-2][person:ed m 6-6]
anthony| Actually my wife had prepared extra food for the dinner So would you like to have it| [person:anthony m 1-1][person:brandie f 2-2][person:ed m 12-12]
ed| I am not pretty sure let me ask with my wife Becky and I will let you know| [person:ed m 0-0][person:ed m 6-6][person:ed m 9-9][person:becky f 10-10][person:becky f 11-11][person:ed m 13-13][person:anthony m 16-16]
anthony| Okay We have chicken curry and Rice Would you like to have it| [person:we g(anthony:brandie) 1-1][person:ed m 8-8]
ed| Okay I will call my wife and ask her and let you know with in 5 minutes| [person:ed m 1-1][person:ed m 4-4][person:becky f 5-5][person:becky f 8-8][person:anthony m 11-11]
anthony| Okay I will be waiting for your response Just text me when you are confirmed| [person:anthony m 1-1][person:ed m 6-6][person:anthony m 10-10][person:ed m 12-12]
ed| Yeah My wife is also ready to take the food| [person:ed m 1-1][person:becky f 2-2]
anthony| That s fine Ed I will ask my wife Brandie to pack the food| [person:ed m 3-3][person:anthony m 4-4][person:anthony m 7-7][person:brandie f 8-8][person:brandie f 9-9]
ed| Thank you Anthony Becky will collect the food with in 5 minutes| [person:anthony m 1-1][person:anthony m 2-2][person:becky f 3-3]

conv:chats_1126_49:aug_0:chat_0:chataug_0| debra ronald| [person:debra f 0-0][person:ronald m 1-1]
debra| Hey Ronald are we all set for our trip to the lake house| [person:ronald m 1-1][person:we g(debra:ronald) 3-3][person:our g(debra:ronald) 7-7]
ronald| Yes Debra I m very excited| [person:debra f 1-1][person:debra f 2-2]
debra| what do yo think about inviting Sophia and Shawn| [person:sophia f 6-6][person:shawn m 8-8]
ronald| That s a great idea I m sure they ll have a lot of fun| [person:ronald m 5-5][person:they g(sophia:shawn) 8-8]
debra| This will be their first time at a lake house| [person:they g(sophia:shawn) 3-3]
ronald| The we should make it special for them| [person:we g(debra:ronald) 1-1][person:they g(sophia:shawn) 7-7]
debra| How do you plan on doing it| [person:ronald m 2-2]
ronald| We could bring their favorite music and favorite food| [person:we g(debra:ronald) 0-0][person:they g(sophia:shawn) 3-3]
debra| That sounds like great idea you do that and I ll invite them| [person:ronald m 5-5][person:debra f 9-9][person:they g(sophia:shawn) 12-12]
ronald| Alright I m very excited for our trip| [person:ronald m 1-1][person:our g(debra:ronald) 6-6]

conv:chats_1126_52:aug_0:chat_0:chataug_0| kate stacey| [person:kate f 0-0][person:stacey f 1-1]
kate| Hey Stacy Have you been invited to Colin s house for the pool party| [person:stacey f 1-1][person:stacey f 3-3][person:colin m 7-7]
stacey| Yeah Kate I hope we ll be meeting all our old friends on that occasion I am very excited about it| [person:kate f 1-1][person:stacey f 2-2][person:we g(kate:stacey) 4-4][person:we g(kate:stacey) 9-9][person:friends g(colin) 11-11][person:stacey f 15-15]
kate| Yes you re right It will be a memorable occasion for all of us| [person:stacey f 1-1][person:us g(kate:stacey:colin) 13-13]
stacey| Fine Do you have the perfect swimsuit for the pool part| [person:kate f 2-2]
kate| Yes I do have But I don t feel very comfortable in wearing it| [person:kate f 1-1][person:kate f 5-5]
stacey| Why do you feel so I know that you will never feel shy for such occasions What happened to you| [person:kate f 2-2][person:stacey f 5-5][person:kate f 8-8][person:kate f 19-19]
kate| Both of my crushes Colin and Greg will be in the party I don t want to make a mess over there| [person:kate f 2-2][person:colin m 4-4][person:greg m 6-6][person:kate f 12-12]
stacey| Alright I can understand that Tell me the truth with whom would you like to spend more time| [person:stacey f 1-1][person:stacey f 6-6][person:kate f 12-12]
kate| I d like to stay with Greg for long time and I don t want to ruin my chances with Colin| [person:kate f 0-0][person:greg m 6-6][person:kate f 11-11][person:kate f 17-17][person:colin m 20-20]
stacey| Amazing I am wondering how you became so naughty I can guide and help you with this issue| [person:stacey f 1-1][person:kate f 5-5][person:stacey f 9-9][person:kate f 14-14]

conv:chats_1126_54:aug_0:chat_0:chataug_0| alexis marilyn| [person:alexis f 0-0][person:marilyn f 1-1]
marilyn| Hey Alexis are you interested in playing soccer now| [person:alexis f 1-1][person:alexis f 3-3]
alexis| Of course I would love to play that sport But I need to ask my Dad s permission for that| [person:alexis f 2-2][person:alexis f 10-10][person:alexis f 14-14][person:dad m 15-15]
marilyn| Fine then try to go and convince him Tell him that we are playing in my house and we ll be very careful| [person:dad m 7-7][person:dad m 9-9][person:we g(marilyn:alexis) 11-11][person:marilyn f 15-15][person:we g(marilyn:alexis) 18-18]
alexis| I have informed him and he has agreed for that I am very happy about it| [person:alexis f 0-0][person:dad m 3-3][person:dad m 5-5][person:alexis f 10-10]
marilyn| What did you ask to Harry Was he really happy about it| [person:alexis f 2-2][person:harry m 5-5][person:harry m 7-7]
alexis| I told him that I am going to play along with Diane at his home He was very normal about it| [person:alexis f 0-0][person:harry m 2-2][person:alexis f 4-4][person:diane f 11-11][person:harry m 13-13][location:home s 14-14][person:harry m 15-15]
marilyn| Did he give you any kind of warnings as all parent does| [person:harry m 1-1][person:alexis f 3-3][person:parent g() 10-10]
alexis| Yes he told me to be careful and not to go outside your compound wall| [person:harry m 1-1][person:alexis f 3-3][person:marilyn f 12-12][location:compound_wall s 13-14]
marilyn| That s what I was wondering I d have really surprised if he d have forgotten those statements| [person:marilyn f 3-3][person:marilyn f 6-6][person:harry m 12-12]
alexis| Very funny Come let s go and play|

conv:chats_1126_56:aug_0:chat_0:chataug_0| andy millie| [person:andy m 0-0][person:millie f 1-1]
millie| Andy I have a huge secret I want to share| [person:andy m 0-0][person:millie f 1-1][person:millie f 6-6]
andy| Really Millie Is it really that big a secret| [person:millie f 1-1]
millie| Yes Andy Do you want to know| [person:andy m 1-1][person:andy m 3-3]
andy| Tell me Millie I want to know| [person:andy m 1-1][person:millie f 2-2][person:andy m 3-3]
millie| How d you feel about it| [person:andy m 2-2]
andy| That made me speechless| [person:andy m 2-2]
millie| Don t share it with anyone| [person:anyone g() 5-5]
andy| Sure I won t Even with Jake or Dennis Why did you not tell them though| [person:andy m 1-1][person:jake m 6-6][person:dennis m 8-8][person:millie f 11-11][person:anyone g(jake:dennis) 14-14]
millie| I don t want them to know| [person:millie f 0-0][person:anyone g(jake:dennis) 4-4]
andy| I feel they might ve given a good advice| [person:andy m 0-0][person:anyone g(jake:dennis) 2-2]

conv:chats_1126_58:aug_0:chat_0:chataug_0| jaime maya| [person:jaime m 0-0][person:maya f 1-1]
jaime| Hi Maya I was just making the guest list for Pat s surprise birthday party| [person:maya f 1-1][person:jaime m 2-2][person:pat m 10-10][location:birthday_party s 13-14]
maya| Great Jamie Have you finalized it Is Randy included in that| [person:jaime m 1-1][person:jaime m 3-3][person:randy m 7-7]
jaime| No it is not finalized I m not sure about inviting Randy I haven t put him on the list yet Should I| [person:jaime m 5-5][person:randy m 11-11][person:jaime m 12-12][person:randy m 16-16][person:jaime m 22-22]
maya| Do you remember the last two times what happened when he was out there| [person:jaime m 1-1][person:randy m 10-10]
jaime| Yes How can I forget He started fighting with everybody and things got out of hand| [person:jaime m 3-3][person:randy m 5-5][person:everybody g() 9-9]
maya| I still respect the relationship between Pat and Randy At the same time I don t want to spoil his birthday night too I am confused| [person:maya f 0-0][person:pat m 6-6][person:randy m 8-8][person:maya f 13-13][person:pat m 19-19][person:maya f 23-23]
jaime| Me too Pat would really want Randy to be there at his party But more than that he would want his party to go off smoothly I want the same| [person:jaime m 0-0][person:pat m 2-2][person:randy m 6-6][person:pat m 11-11][person:pat m 17-17][person:pat m 20-20][person:jaime m 26-26]
maya| I am sure that you can make him understand the situation Just make a story of your version and try to convince him Make sure Pat does t think about his absence tonight| [person:maya f 0-0][person:jaime m 4-4][person:randy m 7-7][person:jaime m 16-16][person:randy m 22-22][person:pat m 25-25][person:randy m 30-30]
jaime| That s a great idea So it s decided then I won t invite Randy and I ll convince Pat later that it wasn t a good idea to invite him| [person:jaime m 10-10][person:randy m 14-14][person:jaime m 16-16][person:pat m 19-19][person:randy m 30-30]
maya| Fine Hope everything goes as planned See you soon Bye| [person:jaime m 7-7]

conv:chats_1126_59:aug_0:chat_0:chataug_0| joanna lawrence| [person:joanna f 0-0][person:lawrence m 1-1]
lawrence| Hi Joanna just now I reached the bakery| [person:joanna f 1-1][person:lawrence m 4-4][location:bakery s 7-7]
joanna| Hi Lawrence Okay Buy some bread and donuts which I said you| [person:lawrence m 1-1][person:joanna f 9-9][person:lawrence m 11-11]
lawrence| Oops I forgot What you had said to me So could you please say it once again| [person:lawrence m 1-1][person:joanna f 4-4][person:lawrence m 8-8][person:joanna f 11-11]
joanna| Buy two chocolate donut for our son Tim| [person:our g(lawrence:joanna) 5-5][person:tim m 6-6][person:tim m 7-7]
lawrence| Okay If chocolate flavor is not available what can I buy| [person:lawrence m 9-9]
joanna| If chocolate is not available ask the suggestion to the shopkeeper Marie| [person:marie f 11-11]
lawrence| Okay I will ask But Marie can recommend the old stock which is not sold out yet| [person:lawrence m 1-1][person:marie f 5-5]
joanna| No She is very good at recommending the good items| [person:marie f 1-1]
lawrence| Okay then I will also go with her choice itself I will catch you at home bye| [person:lawrence m 2-2][person:marie f 7-7][person:lawrence m 10-10][person:joanna f 13-13][location:home s 15-15]
joanna| Purchase the things and come fast We will be waiting for you| [person:we g(joanna:tim) 6-6][person:lawrence m 11-11]

conv:chats_1126_61:aug_0:chat_0:chataug_0| cole leslie| [person:cole m 0-0][person:leslie f 1-1]
leslie| Hi Cole What do you think of visiting to our grand parents| [person:cole m 1-1][person:cole m 4-4][person:our g(leslie:cole) 9-9][person:parents g() 11-11]
cole| Hi Leslie Wow that was a nice idea Even I am longing to visit them| [person:leslie f 1-1][person:cole m 9-9][person:parents g() 14-14]
leslie| Yes Shall we plan by this weekend| [person:our g(leslie:cole) 2-2]
cole| Okay I am ready We should take them their favorite dessert s| [person:cole m 1-1][person:our g(leslie:cole) 4-4][person:parents g() 7-7][person:parents g() 8-8]
leslie| Yeah But remember Last time grandma was disappointed for too much of the sweet stuff|
cole| Yeah I remember This time we will take some healthy foods too| [person:cole m 1-1][person:our g(leslie:cole) 5-5]
leslie| Okay Let us take some sprouts for our grand parents So they can like it| [person:our g(leslie:cole) 2-2][person:our g(leslie:cole) 7-7][person:parents g() 9-9][person:parents g() 11-11]
cole| That was a good thought but make sure don t add any sauce|
leslie| Yeah Then we both will go and get some fresh sprouts from the market| [person:our g(leslie:cole) 2-2]
cole| Okay Let us go to the market by today evening| [person:our g(leslie:cole) 2-2]

conv:chats_1126_63:aug_0:chat_0:chataug_0| millie willie| [person:millie f 0-0][person:willie m 1-1]
millie| Hi Willie Where are you now| [person:willie m 1-1][person:willie m 4-4]
willie| Hi Millie I am inside my room in the campus What about you| [person:millie f 1-1][person:willie m 2-2][person:willie m 5-5][person:millie f 12-12]
millie| I am over here Our security guard Tom and Douglas is in quarrel| [person:millie f 0-0][person:our g(millie:willie) 4-4][person:tom m 7-7][person:douglas m 9-9]
willie| Why they both are quarreling What is the matter| [person:they g(tom:douglas) 1-1]
millie| I think Douglas has forgotten his Id cards So our security Tom is not allowing him inside| [person:millie f 0-0][person:douglas m 2-2][person:douglas m 5-5][person:our g(millie:willie) 9-9][person:tom m 11-11][person:douglas m 15-15]
willie| Oh Is it so I think Douglas will never do like this| [person:willie m 4-4][person:douglas m 6-6]
millie| No but he is showing his Id card photo But Tom is not accepting it still| [person:douglas m 2-2][person:douglas m 5-5][person:tom m 10-10]
willie| My God He is showing the photo So Tom can leave him| [person:willie m 0-0][person:douglas m 2-2][person:tom m 8-8][person:douglas m 11-11]
millie| Yeah As you said tom left him and felt sorry to him now We are on the way to the class| [person:willie m 2-2][person:tom m 4-4][person:douglas m 6-6][person:douglas m 11-11][person:we g(millie:douglas) 13-13]
willie| Okay That is good to hear I will be waiting in the class for you guys| [person:willie m 6-6][person:millie f 14-14]

conv:chats_1126_65:aug_0:chat_0:chataug_0| billy dennis| [person:billy m 0-0][person:dennis m 1-1]
billy| Hey Dennis what do you think about a picnic at the lake| [person:dennis m 1-1][person:dennis m 4-4][location:lake s 11-11]
dennis| Are we going just for the picnic| [person:we g(billy:dennis) 1-1]
billy| I d like to go for a picnic and spend some quality time with the family| [person:billy m 0-0][person:family g(billy) 15-15]
dennis| That s great the kids would love it| [person:kids g(billy:dennis) 4-4]
billy| I know we ll teach Rob how to swim this time| [person:billy m 0-0][person:we g(billy:dennis) 2-2][person:rob m 5-5]
dennis| And we ll teach Eva fishing| [person:we g(billy:dennis:rob) 1-1][person:eva f 4-4]
billy| She said she wants to get good at fishing| [person:eva f 0-0][person:eva f 2-2]
dennis| Don t tell them about this plan We ll give them a surprise| [person:them g(rob:eva) 3-3][person:we g(billy:dennis) 7-7][person:them g(rob:eva) 10-10]
billy| That is a very good idea|
dennis| I m looking forward to this weekend| [person:dennis m 0-0]

conv:chats_1126_66:aug_0:chat_0:chataug_0| christine john| [person:christine f 0-0][person:john m 1-1]
christine| Hi John Are you ready for the basketball challenge Let us see who is better| [person:john m 1-1][person:john m 3-3][person:us g(christine:john) 10-10]
john| Yeah I am ready for the challenge Christine I have got a surprise for you Our dad Dylan will be playing for my side| [person:john m 1-1][person:christine f 7-7][person:john m 8-8][person:christine f 14-14][person:us g(christine:john) 15-15][person:dad m 16-16][person:dad m 17-17][person:john m 22-22]
christine| OMG This isn t fair enough Its a challenge between us This also shows that you are running out of confidence in your abilities| [person:us g(christine:john) 10-10][person:john m 15-15][person:john m 22-22]
john| You can comment on this by all means I don t feel anything wrong of what I did Even you can ask for someone s help if it requires| [person:christine f 0-0][person:john m 8-8][person:john m 16-16][person:christine f 19-19][person:someone u 23-23]
christine| Fine Then I am playing Mom along with me Do you know that she was university champion in basketball during her college days| [person:christine f 2-2][person:mom f 5-5][person:christine f 8-8][person:john m 10-10][person:mom f 13-13][location:university s 15-15][person:mom f 20-20]
john| Really I never felt that Jennifer is such a terrific player It s been a shame that I left her to the opponent| [person:john m 1-1][person:mom f 5-5][person:john m 17-17][person:mom f 19-19]
christine| That was a blessing in disguise I just want to prove you that you have lost the game way back when you lost faith in you| [person:christine f 6-6][person:john m 11-11][person:john m 13-13][person:john m 21-21][person:john m 25-25]
john| The game is not about chatting Try to control your mouth Let our actions speak in the court than our words| [person:john m 9-9][person:us g(christine:john) 12-12][person:us g(christine:john) 19-19]
christine| Great I love this sportsman spirit Even I am done talking| [person:christine f 1-1][person:christine f 7-7]
john| Alright Let s call both of them and start the game| [person:them g(dad:mom) 6-6]

conv:chats_1126_67:aug_0:chat_0:chataug_0| cassie woody| [person:cassie f 0-0][person:woody m 1-1]
woody| Hey Cassie shall we go out for dinner to celebrate completing our first week at work| [person:cassie f 1-1][person:we g(woody:cassie) 3-3][location:dinner s 7-7][person:our g(woody:cassie) 11-11]
cassie| That is a great idea Where should we go| [person:we g(woody:cassie) 7-7]
woody| We will go to the Chinese restaurant down the street| [person:we g(woody:cassie) 0-0][location:restaurant s 6-6][location:street s 9-9]
cassie| Aright we could invite Macy and Tom too| [person:we g(woody:cassie) 1-1][person:macy f 4-4][person:tom m 6-6]
woody| I don t think it is a good idea| [person:woody m 0-0]
cassie| Why would you say that| [person:woody m 2-2]
woody| I don t like those people very much| [person:woody m 0-0]
cassie| I m sure you ll enjoy they are fun to hangout with| [person:cassie f 0-0][person:woody m 3-3][person:they g(macy:tom) 6-6]
woody| Alright there is no harm in giving it a try|
cassie| Awesome I ll invite them then| [person:cassie f 1-1][person:them g(macy:tom) 4-4]

conv:chats_1126_68:aug_0:chat_0:chataug_0| issac patty| [person:issac m 0-0][person:patty f 1-1]
patty| Hey Issac There is an issue with the hall bath toilet It is continuously running water| [person:issac m 1-1]
issac| I know I tried to fix it but I couldn t do it| [person:issac m 0-0][person:issac m 2-2][person:issac m 8-8]
patty| Oh Then get a plumber while I am at work| [person:patty f 6-6]
issac| Yeah I already did that I called Andrew to fix it| [person:issac m 1-1][person:issac m 5-5][person:andrew m 7-7]
patty| I am very happy that you did that because Andrew is a very good plumber| [person:patty f 0-0][person:issac m 5-5][person:andrew m 9-9]
issac| But I don t feel that good about it| [person:issac m 1-1]
patty| Why What s wrong with his work| [person:andrew m 5-5]
issac| It s not about his work it is about the expense he is very much expensive| [person:andrew m 4-4][person:andrew m 11-11]
patty| Yeah But he does the best at his work and there won t be any problem with it in the future| [person:andrew m 2-2][person:andrew m 7-7]
issac| Yeah I hope so that s the reason I called the expensive plumber| [person:issac m 1-1][person:issac m 8-8]

conv:chats_1126_69:aug_0:chat_0:chataug_0| philip sandy| [person:philip m 0-0][person:sandy f 1-1]
sandy| Hey Philip I ll be late for home today I ll get the dinner on my way Just tell me your preferences| [person:philip m 1-1][person:sandy f 2-2][location:home s 7-7][person:sandy f 9-9][person:sandy f 15-15][person:sandy f 19-19][person:philip m 20-20]
philip| Hi Mom I am not hungry We will discuss about it after coming home Why so early| [person:sandy f 1-1][person:philip m 2-2][person:we g(sandy:philip) 6-6][location:home s 13-13]
sandy| I won t come at my usual timings today I ll be very late That s why I am asking you| [person:sandy f 0-0][person:sandy f 5-5][person:sandy f 9-9][person:sandy f 17-17][person:philip m 20-20]
philip| Alright I would like to have some pizza today with Sausage toppings I am not sure about Josh and Suzy| [person:philip m 1-1][person:philip m 12-12][person:josh m 17-17][person:suzy f 19-19]
sandy| Fine Just talk to them and text me their preferences Try to make it quick| [person:them g(josh:suzy) 4-4][person:sandy f 7-7][person:them g(josh:suzy) 8-8]
philip| I just spoke with them Josh likes Cheese burgers and Suzy is happy with noodles| [person:philip m 0-0][person:them g(josh:suzy) 4-4][person:josh m 5-5][person:suzy f 10-10]
sandy| Josh is already going through heavy cold I think cheese burgers will make him worse Ask him to go for an alternative| [person:josh m 0-0][person:sandy f 7-7][person:josh m 13-13][person:josh m 16-16]
