conv:people_2019081802_39:aug_0:chat_0:chataug_0| alexander johnny| [person:alexander m 0-0][person:johnny m 1-1]
cynthia| Oh my thank you so much I really appreciate your help| [person:cynthia f 1-1][person:lara f 3-3][person:cynthia f 6-6][person:lara f 9-9]
lara| No worries be glad to help you| [person:cynthia f 6-6]

conv:people_2019081901_27:aug_0:chat_0:chataug_0| gregory malcolm| [person:gregory m 0-0][person:malcolm m 1-1]
malcolm| Hey Gregory Me and my neighbors Eduardo and Johnny will be going to watch a movie in your area so which theater do you suggest| [person:gregory m 1-1][person:malcolm m 2-2][person:malcolm m 4-4][person:neighbors g() 5-5][person:eduardo m 6-6][person:johnny m 8-8][person:gregory m 17-17][person:gregory m 23-23]
gregory| Hey Malcolm Nice plans you got there There are some which I can suggest| [person:malcolm m 1-1][person:malcolm m 4-4][location:area s 6-6][person:gregory m 11-11]
malcolm| Why don t you also join us so we will know for sure you will be suggesting the best theaters| [person:gregory m 3-3][person:us g(malcolm:eduardo:johnny) 6-6][person:we g(malcolm:gregory:eduardo:johnny) 8-8][person:gregory m 13-13][location:theaters g() 19-19]
gregory| Yes I would be glad to join you guys| [person:gregory m 1-1][person:malcolm m 7-7]
malcolm| Then which theaters do you suggest| [location:theaters g() 2-2][person:gregory m 4-4]
gregory| Well it can be the theater on 5th street the IMAX on Cross boulevard or the Cineplex at the mall| [location:theater s 5-5][location:street s 8-8][location:imax s 10-10][location:cross_boulevard s 13-13][location:cineplex s 16-16][location:mall s 19-19]
malcolm| I think IMAX would be the best choice| [person:malcolm m 0-0][location:imax s 2-2]
gregory| It sure is the best choice even though the tickets cost more|
malcolm| Well it doesn t matter since we want to enjoy our time| [person:we g(malcolm:gregory:eduardo:johnny) 6-6][person:we g(malcolm:gregory:eduardo:johnny) 10-10]
gregory| You are right| [person:malcolm m 0-0]
malcolm| See you at the theater then| [person:gregory m 1-1][location:theater s 4-4]
gregory| Yes we will be meeting soon it will be fun| [person:we g(malcolm:gregory:eduardo:johnny) 1-1]

conv:people_2019081901_32:aug_0:chat_0:chataug_0| maria megan| [person:maria f 0-0][person:megan f 1-1]
megan| Hey Maria do you remember when the playoff game we re gonna watch is| [person:maria f 1-1][person:maria f 3-3][person:we g(megan:maria) 9-9]
maria| Hi Megan yes it s next Saturday| [person:megan f 1-1]
megan| Okay cool just making sure because I want to ask if Janice and Sarah want to come| [person:megan f 6-6][person:janice f 11-11][person:sarah f 13-13]
maria| Do you think they like that kind of stuff| [person:megan f 1-1][person:they g(janice:sarah) 3-3]
megan| I don t know for sure but it doesn t hurt to ask| [person:megan f 0-0]
maria| Well that s true Maybe it ll be fun for them if all four of us are together anyway| [person:they g(janice:sarah) 10-10][person:us g(megan:maria:janice:sarah) 15-15]
megan| Where do you think we should meet| [person:maria f 2-2][person:us g(megan:maria:janice:sarah) 4-4]
maria| If it s just the two of us we can just meet at the entrance| [person:we g(megan:maria) 7-7][person:we g(megan:maria) 8-8][location:entrance s 14-14]
maria| But the other two might not know where it is| [location:entrance s 8-8]
megan| True so if they accept we should meet at the closest bus station| [person:they g(janice:sarah) 3-3][person:we g(megan:maria) 5-5][location:bus_station s 12-12]
maria| Let me know when you ask them then| [person:maria f 1-1][person:megan f 4-4][person:they g(janice:sarah) 6-6]
megan| Sure Bye for now|

conv:people_2019081901_36:aug_0:chat_0:chataug_0| doug stanley| [person:doug m 0-0][person:stanley m 1-1]
stanley| Hey Doug how are you doing| [person:doug m 1-1][person:doug m 4-4]
doug| I m doing great How are you doing| [person:doug m 0-0][person:stanley m 6-6]
stanley| I m fine my friends Tim and Roger are coming to visit| [person:stanley m 0-0][person:stanley m 3-3][person:friends g() 4-4][person:tim m 5-5][person:roger m 7-7]
doug| Oh cool What are you planning to do with them| [person:stanley m 4-4][person:friends g(tim:roger) 9-9]
stanley| Well I was wondering if you could show them around St Louis| [person:stanley m 1-1][person:doug m 5-5][person:friends g(tim:roger) 8-8][location:st__louis s 10-11]
doug| Where do you think they d like to go in St Louis| [person:stanley m 2-2][person:friends g(tim:roger) 4-4][location:st__louis s 10-11]
stanley| They haven t seen the great arch so I think they d like that best| [person:friends g(tim:roger) 0-0][location:great_arch s 6-6][person:stanley m 8-8][person:friends g(tim:roger) 10-10][location:great_arch s 13-13]
doug| That would be nice to show them Sure thing When should I plan to take them| [location:great_arch s 0-0][person:friends g(tim:roger) 6-6][person:doug m 11-11][person:friends g(tim:roger) 15-15]
stanley| How about at 3 PM Tuesday|
doug| You betcha I ll meet at your house then| [person:stanley m 0-0][person:doug m 2-2][person:stanley m 6-6][location:house s 7-7]
stanley| Great thanks so much See you then| [person:doug m 5-5]

conv:people_2019081901_37:aug_0:chat_0:chataug_0| bob pam| [person:bob m 0-0][person:pam f 1-1]
bob| Hi Pam how is it going| [person:pam f 1-1]
pam| Great Bob What s going on with you| [person:bob m 1-1][person:bob m 7-7]
bob| I m going to be hanging out with friends and want to see if you d like to join in| [person:bob m 0-0][person:friends g() 8-8][person:pam f 14-14]
pam| Who are your friends that you are going with| [person:bob m 2-2][person:friends g() 3-3][person:bob m 5-5]
bob| Virginia Theresa and Phil are going this weekend| [person:virginia f 0-0][person:theresa f 1-1][person:phil m 3-3]
pam| Oh I don t really know them that well| [person:pam f 1-1][person:friends g(virginia:theresa:phil) 6-6]
bob| They are really cool and fun to be with| [person:friends g(virginia:theresa:phil) 0-0]
pam| What do they like to do for fun| [person:friends g(virginia:theresa:phil) 2-2]
bob| They like to watch movies just like you They love a good horror flick| [person:friends g(virginia:theresa:phil) 0-0][person:pam f 7-7][person:friends g(virginia:theresa:phil) 8-8]
pam| Oh that sounds like a blast I d love to come| [person:pam f 6-6]

conv:people_2019081901_41:aug_0:chat_0:chataug_0| alexis christine| [person:alexis f 0-0][person:christine f 1-1]
alexis| hai brians and murpheys come to our home for a small get together| [person:brians g() 1-1][person:murpheys g() 3-3][person:we g(alexis:christine) 6-6][location:home s 7-7]
christine| i am also inviting both of you brian and murphey| [person:christine f 0-0][person:alexis f 6-6][person:brian m 7-7]
alexis| christine what are the items we are going to prepare for them| [person:christine f 0-0][person:we g(alexis:christine) 5-5][person:them g(brian) 11-11]
christine| some chat like items burger sweet poondi and veg roll|
alexis| wow thats good i will prepare sweet poondi| [person:alexis f 3-3]
christine| i will prepare burger and veg roll| [person:christine f 0-0]
alexis| tell me the raw items that we need to buy for cooking food| [person:alexis f 1-1][person:we g(alexis:christine) 6-6]
christine| we need burger buns some onion tomatoes flour like besan and maida some vegetables and sugar| [person:we g(alexis:christine) 0-0]
alexis| ok i think we have maida and besan flour already at home so we can use that| [person:alexis f 1-1][person:we g(alexis:christine) 3-3][location:home s 11-11][person:we g(alexis:christine) 13-13]
christine| ok we need to buy vegetables because it should be fresh| [person:we g(alexis:christine) 1-1]
alexis| ok shall we move to purchase the items| [person:we g(alexis:christine) 2-2]
christine| yes that s good|

conv:people_2019081901_47:aug_0:chat_0:chataug_0| randy ryan| [person:randy m 0-0][person:ryan m 1-1]
randy| We will have a drinks party soon along with your friends| [person:we g(randy:ryan) 0-0][location:party s 5-5][person:ryan m 9-9][person:friends g(ryan) 10-10]
ryan| yes we can have lot of fun| [person:we g(randy:ryan) 1-1]
randy| So when are your friends free| [person:ryan m 3-3][person:friends g(ryan) 4-4]
ryan| I will just ask them| [person:ryan m 0-0][person:friends g(ryan) 4-4]
randy| This weekend might be convinient for all|
ryan| May be yes as i will discuss with them| [person:ryan m 4-4][person:friends g(ryan) 8-8]
randy| Where do we planned to have drinks party| [person:we g(randy:ryan) 2-2][location:party s 7-7]
ryan| I think your place is perfect| [person:ryan m 0-0][person:randy m 2-2][location:place s 3-3]
randy| Okay i will get ready for the party and you fix the date| [person:randy m 1-1][location:party s 7-7][person:ryan m 9-9]
ryan| I will call my friends and decide everything| [person:ryan m 0-0][person:ryan m 3-3][person:friends g(ryan) 4-4]

conv:people_2019081901_49:aug_0:chat_0:chataug_0| cathy wayne| [person:cathy f 0-0][person:wayne m 1-1]
cathy| Hello my friend Wayne I will be having a barbecue with Paul next week and I wanted to invite you to come| [person:cathy f 1-1][person:cathy f 2-2][person:wayne m 3-3][person:cathy f 4-4][person:paul m 11-11][person:paul m 15-15][person:cathy f 19-19]
wayne| Hey Cathy That would be so nice I haven t met Paul in a long time so I really would like meeting him again| [person:cathy f 1-1][person:cathy f 7-7][person:paul m 11-11][person:paul m 17-17][person:wayne m 22-22]
cathy| I am sure he will be happy to meet you too| [person:cathy f 0-0][person:paul m 3-3][person:wayne m 9-9]
wayne| He doesn t come from Seattle often so I must not lose the opportunity though a friend of mine called Arthur will be in town on the same day so I was wondering if he can come too| [person:wayne m 0-0][person:wayne m 8-8][person:paul m 16-16][person:wayne m 18-18][person:arthur m 20-20][person:wayne m 30-30][person:arthur m 34-34]
cathy| I don t think I know Arthur| [person:cathy f 0-0][person:cathy f 4-4][person:arthur m 6-6]
wayne| Well actually you don t and he doesn t know you either so do you think it can be a good idea to invite him too| [person:cathy f 2-2][person:arthur m 6-6][person:cathy f 10-10][person:cathy f 14-14][person:arthur m 24-24]
cathy| Well since we don t know him then we better get to know him New people usually seem interesting| [person:we g(cathy:wayne:paul:arthur) 2-2][person:arthur m 6-6][person:we g(cathy:wayne:paul:arthur) 8-8][person:arthur m 13-13]
wayne| Yes Arthur is a nice guys and has quite appropriate behavior| [person:arthur m 1-1]
cathy| Bring him too then| [person:arthur m 1-1]
wayne| I will since you agree| [person:wayne m 0-0][person:cathy f 3-3]
cathy| See you at the barbecue then| [person:wayne m 1-1]
wayne| Yes I can t wait for the food and the drinks and the meeting with Paul| [person:wayne m 1-1][person:paul m 15-15]

conv:people_2019081901_52:aug_0:chat_0:chataug_0| gabriel logan| [person:gabriel m 0-0][person:logan m 1-1]
logan| Are you still interesting in heading out for dinner| [person:gabriel m 1-1]
gabriel| For sure I have been looking forward to it all week| [person:gabriel m 2-2]
logan| Great Do you have any idea where you would like to go| [person:gabriel m 2-2][person:gabriel m 7-7]
gabriel| I would like just about any place except Mexican food I was thinking though that we should invite Christopher and Dan| [person:gabriel m 0-0][location:place s 6-6][person:gabriel m 10-10][person:we g(logan:gabriel) 15-15][person:christopher m 18-18][person:dan m 20-20]
logan| Well we could but you know that Christopher doesn t really like any place except steak houses| [person:we g(logan:gabriel) 1-1][person:gabriel m 4-4][person:christopher m 7-7][location:place s 13-13][location:steak_houses s 15-15]
gabriel| That is true so we wouldn t really have a choice about where we could eat if we invited them| [person:we g(logan:gabriel) 4-4][person:we g(logan:gabriel) 13-13][person:we g(logan:gabriel) 17-17][person:them g(christopher:dan) 19-19]
logan| Well I am alright with steak if you want to invite them| [person:logan m 1-1][person:gabriel m 7-7][person:them g(christopher:dan) 11-11]
gabriel| I think that inviting Christopher and Dan would be the right thing to do I will ask them if you don t mind| [person:gabriel m 0-0][person:christopher m 4-4][person:dan m 6-6][person:gabriel m 14-14][person:them g(christopher:dan) 17-17][person:logan m 19-19]
logan| That is fine with me Let me know what they say| [person:logan m 4-4][person:logan m 6-6][person:they g() 9-9]
gabriel| I will get right back to you So steak house if they want to go and if not then you decide what you want| [person:gabriel m 0-0][person:logan m 6-6][location:steakhouse s 8-8][person:they g() 11-11][person:logan m 19-19][person:logan m 22-22]
logan| Sounds like a great plan|

conv:people_2019081901_55:aug_0:chat_0:chataug_0| nicholas walt| [person:nicholas m 0-0][person:walt m 1-1]
nicholas| I m really looking forward to the game today| [person:nicholas m 0-0]
walt| Me too Benjamin and Wayne are going to hook up with us too don t forget| [person:walt m 0-0][person:benjamin m 2-2][person:wayne m 4-4][person:us g(walt:benjamin:wayne) 11-11]
nicholas| Right I know Did they have any thoughts on where we should go to watch it| [person:nicholas m 1-1][person:they g(benjamin:wayne) 4-4][person:we g(nicholas:walt) 10-10]
walt| They suggested a couple of places but I didn t think their ideas were great| [person:they g(benjamin:wayne) 0-0][location:places g() 5-5][person:walt m 7-7][person:they g(benjamin:wayne) 11-11]
nicholas| Well I don t really care where we go as long as they have good things to eat| [person:nicholas m 1-1][person:we g(nicholas:walt) 7-7][person:they g(benjamin:wayne) 12-12]
walt| Agreed I don t really care either I just don t want to go any place too far away| [person:walt m 1-1][person:walt m 7-7][location:place s 15-15]
nicholas| There s a sports bar about halfway between our place and their place if I could just remember the name of it| [location:sports_bar s 3-4][person:we g(nicholas:walt) 8-8][location:place s 9-9][person:they g(benjamin:wayne) 11-11][location:place s 12-12][person:nicholas m 14-14][location:place s 21-21]
walt| Are you talking about that one on Blatchford Avenue The place with the pool tables| [person:nicholas m 1-1][location:blatchford_avenue s 7-7][location:blatchford_avenue s 10-10]
nicholas| That s the one They ve got those great wings and burgers and really good drinks| [person:they g(benjamin:wayne) 4-4]
walt| Yeah I like that place I m pretty sure those guys will like it too| [person:walt m 1-1][location:blatchford_avenue s 4-4][person:walt m 5-5][location:blatchford_avenue s 13-13]

conv:people_2019081901_58:aug_0:chat_0:chataug_0| joyce vincent| [person:joyce f 0-0][person:vincent m 1-1]
vincent| Hi Joyce do you want to go out with me and my friends this weekend| [person:joyce f 1-1][person:joyce f 3-3][person:vincent m 9-9][person:vincent m 11-11][person:friends g() 12-12]
joyce| Well I m not sure I don t really know anyone else I d hate to be a tag along| [person:joyce f 1-1][person:joyce f 5-5][person:joyce f 10-10][person:joyce f 12-12]
vincent| I m going out with Ann Melinda and Dylan and they are all very cool and nice You would get along well with them| [person:vincent m 0-0][person:ann f 5-5][person:melinda f 6-6][person:dylan m 8-8][person:they g(melinda:dylan:ann) 10-10][person:vincent m 17-17]
vincent| Ann is a teacher like you and Melinda is in corporate HR Dylan is a buddy of mine I ve know since high school| [person:ann f 0-0][person:vincent m 5-5][person:melinda f 7-7][person:dylan m 12-12][person:vincent m 15-15][person:vincent m 17-17][person:vincent m 18-18][location:high_school s 22-23]
joyce| Oh that is cool I guess we would all have some things in common to talk about Where are you all going| [person:joyce f 4-4][person:we g(ann:melinda:dylan) 6-6][person:vincent m 19-19]
vincent| We are heading down to the harbor side early in the afternoon Thinking about grabbing some late lunch and some drinks| [person:we g(ann:melinda:dylan) 0-0][location:the_harbor s 6-6]
joyce| That sounds fun I know a great restaurant down there that my roommate is a bartender at She is actually working this weekend| [person:joyce f 3-3][location:restaurant s 7-7][location:the_harbor s 9-9][person:joyce f 11-11][person:joyce f 17-17]
vincent| That is cool I think that you will like everyone and they will like you| [person:vincent m 3-3][person:joyce f 6-6][person:everyone g(melinda:dylan) 9-9][person:they g(ann:melinda:dylan) 11-11][person:joyce f 14-14]
joyce| I m looking forward to it What time should I tell my roommate we might be showing up at Harbor Bar| [person:joyce f 0-0][location:restaurant s 5-5][person:joyce f 9-9][person:joyce f 11-11][person:we g(ann:melinda:dylan) 13-13][location:harbor_bar s 20-20]
vincent| I was thinking of around 2 pm Dylan and I have a basketball game at 10 am so that gives us enough time to clean up and get over there| [person:vincent m 0-0][person:dylan m 7-7][person:vincent m 9-9][person:us g(ann:melinda:dylan) 20-20][location:harbor_bar s 29-29]
joyce| Perfect I will let her know Should I meet you all there or meet you here| [person:joyce f 1-1][person:joyce f 4-4][person:joyce f 7-7][person:vincent m 9-9][location:harbor_bar s 11-11][person:vincent m 14-14][location:here s 15-15]
vincent| Let s plan to meet at Harbor Bar at 2 Glad you are coming| [location:harbor_bar s 7-7][person:joyce f 11-11]
joyce| Me too See you then| [person:joyce f 0-0][person:vincent m 3-3]

conv:people_2019081901_59:aug_0:chat_0:chataug_0| arthur shawn| [person:arthur m 0-0][person:shawn m 1-1]
shawn| Hey Arthur I m planning to catch a movie in your area bro I m going with Ivan and Wayne Can you recommend some good theaters| [person:arthur m 1-1][person:shawn m 2-2][person:arthur m 10-10][location:area s 11-11][person:shawn m 13-13][person:ivan m 17-17][person:wayne m 19-19][person:arthur m 21-21]
arthur| Sure bro They re your colleagues right| [person:they g(ivan:wayne) 2-2][person:shawn m 4-4][person:colleagues g(ivan:wayne) 5-5]
shawn| Yeah We ve been planning for a couple of days to catch a good movie| [person:we g(shawn:ivan:wayne) 1-1]
shawn| So how about the theaters Any recommendations| [location:theaters s 4-4]
arthur| There s IMAX Wrigley Cinemax Park and Samsung 3D Plaza all of them are awesome| [location:imax_wrigley s 2-2][location:cinemax_park s 5-5][location:samsung_3d_plaza s 9-9][person:they g(ivan:wayne) 12-12]
arthur| However Samsung 3D plaza has the best snacks| [location:samsung_3d_plaza s 3-3]
arthur| What kind of movie do you plan on seeing| [person:shawn m 5-5]
shawn| We d like to catch a good comedy| [person:we g(shawn:ivan:wayne) 0-0]
arthur| Awesome I m really into comedies too you know| [person:arthur m 1-1][person:shawn m 7-7]
shawn| Man I simply forgot to ask Do you wanna come along| [person:shawn m 1-1][person:arthur m 7-7]
arthur| That would be awesome|
shawn| OK then it s set We ll go to Samsung 3D Plaza to see a comedy tomorrow afternoon I ll text you the hour Bye man| [person:we g(shawn:ivan:wayne) 5-5][location:samsung_3d_plaza s 11-11][person:shawn m 18-18][person:arthur m 21-21]
arthur| Bye See you then| [person:shawn m 2-2]

conv:people_2019081901_60:aug_0:chat_0:chataug_0| lauren shawn| [person:lauren f 0-0][person:shawn m 1-1]
lauren| Hey hi there|
shawn| Hi I am fine whats up| [person:shawn m 1-1]
lauren| Nothing much Where are you| [person:shawn m 4-4]
shawn| Im in the house where are you| [person:lauren f 6-6]
lauren| I am in the office I need a favour| [person:lauren f 0-0][location:office s 4-4][person:lauren f 5-5]
shawn| Ok i am listening| [person:shawn m 1-1]
lauren| Do you remember my friend Andrea| [person:lauren f 1-1][person:lauren f 3-3][person:friend u 4-4][person:andrea f 5-5]
shawn| Yes is she ok| [person:andrea f 2-2]
lauren| Yes I forgot my books at her place but I am stuck at work| [person:lauren f 1-1][person:lauren f 3-3][person:shawn m 6-6][location:place s 7-7][person:lauren f 9-9]
shawn| Ok|
lauren| Please help me pick them i will pass by your housr to get them| [person:lauren f 2-2][person:them g(shawn:friend:friend:andrea) 4-4][person:lauren f 5-5][person:shawn m 9-9][person:them g(shawn:friend:friend:andrea) 13-13]
shawn| Ok no worries share the locations|
lauren| I will im a few| [person:lauren f 0-0]
lauren| In|
shawn| Thank you Much appreciated| [person:lauren f 1-1]

conv:people_2019081901_63:aug_0:chat_0:chataug_0| cathy wayne| [person:cathy f 0-0][person:wayne m 1-1]
cathy| Hello my friend Wayne I will be having a barbecue with Paul next week and I wanted to invite you to come| [person:cathy f 1-1][person:wayne m 2-2][person:wayne m 3-3][person:cathy f 4-4][person:paul m 11-11][person:cathy f 15-15][person:paul m 19-19]
wayne| Hey Cathy That would be so nice I haven t met Paul in a long time so I really would like meeting him again| [person:cathy f 1-1][person:wayne m 7-7][person:paul m 11-11][person:wayne m 17-17][person:paul m 22-22]
cathy| I am sure he will be happy to meet you too| [person:cathy f 0-0][person:paul m 3-3][person:wayne m 9-9]
wayne| He doesn t come from Seattle often so I must not lose the opportunity though a friend of mine called Arthur will be in town on the same day so I was wondering if he can come too| [person:paul m 0-0][person:wayne m 8-8][person:paul m 16-16][person:wayne m 18-18][person:arthur m 20-20][person:wayne m 30-30][person:arthur m 34-34]
cathy| I don t think I know Arthur| [person:cathy f 0-0][person:cathy f 4-4][person:arthur m 6-6]
wayne| Well actually you don t and he doesn t know you either so do you think it can be a good idea to invite him too| [person:cathy f 2-2][person:arthur m 6-6][person:cathy f 10-10][person:cathy f 14-14][person:arthur m 24-24]
cathy| Well since we don t know him then we better get to know him New people usually seem interesting| [person:we g(cathy:wayne:paul:arthur) 2-2][person:arthur m 6-6][person:we g(cathy:wayne:paul:arthur) 8-8][person:arthur m 13-13]
wayne| Yes Arthur is a nice guys and has quite appropriate behavior| [person:arthur m 1-1]
cathy| Bring him too then| [person:arthur m 1-1]
wayne| I will since you agree| [person:wayne m 0-0][person:cathy f 3-3]
cathy| See you at the barbecue then| [person:wayne m 1-1]
wayne| Yes I can t wait for the food and the drinks and the meeting with Paul| [person:wayne m 1-1][person:paul m 15-15]

conv:people_2019081901_64:aug_0:chat_0:chataug_0| gabriel logan| [person:gabriel m 0-0][person:logan m 1-1]
logan| Are you still interesting in heading out for dinner| [person:logan m 1-1]
gabriel| For sure I have been looking forward to it all week| [person:gabriel m 2-2]
logan| Great Do you have any idea where you would like to go| [person:gabriel m 2-2][person:gabriel m 7-7]
gabriel| I would like just about any place except Mexican food I was thinking though that we should invite Christopher and Dan| [person:gabriel m 0-0][location:place s 6-6][person:gabriel m 10-10][person:gabriel m 15-15][person:christopher m 18-18][person:dan m 20-20]
logan| Well we could but you know that Christopher doesn t really like any place except steak houses| [person:logan m 1-1][person:gabriel m 4-4][person:christopher m 7-7][location:place s 13-13]
gabriel| That is true so we wouldn t really have a choice about where we could eat if we invited them| [person:gabriel m 4-4][person:gabriel m 13-13][person:gabriel m 17-17][person:them g() 19-19]
logan| Well I am alright with steak if you want to invite them| [person:logan m 1-1][person:gabriel m 7-7][person:them g() 11-11]
gabriel| I think that inviting Christopher and Dan would be the right thing to do I will ask them if you don t mind| [person:gabriel m 0-0][person:christopher m 4-4][person:dan m 6-6][person:gabriel m 14-14][person:them g() 17-17][person:logan m 19-19]
logan| That is fine with me Let me know what they say| [person:logan m 4-4][person:logan m 6-6][person:them g() 9-9]
gabriel| I will get right back to you So steak house if they want to go and if not then you decide what you want| [person:gabriel m 0-0][person:logan m 6-6][person:them g() 11-11][person:logan m 19-19][person:logan m 22-22]
logan| Sounds like a great plan|

conv:people_2019081901_65:aug_0:chat_0:chataug_0| keith pedro| [person:keith m 0-0][person:pedro m 1-1]
keith| Hey Pedro you all set for going to Martin s today| [person:pedro m 1-1][person:pedro m 2-2][person:martin m 8-8]
pedro| Yeah man Just wondering what we should bring any ideas| [person:we g(keith:pedro) 5-5]
keith| I was thinking some expensive wine would do the trick| [person:keith m 0-0]
pedro| I had heard they quit drinking a few years back| [person:pedro m 0-0][person:martin m 3-3]
keith| What a pity How about some icecream it will do well with whatever they serve for desert| [person:martin m 13-13]
pedro| You are forgetting that Mr Martin in diabetic| [person:keith m 0-0][person:martin m 5-5]
keith| This is so hard it sucks that we don t know them well enough Perhaps we should ask Gregory he knows them well| [person:we g(keith:pedro) 7-7][person:martin m 11-11][person:we g(keith:pedro) 15-15][person:gregory m 18-18][person:gregory m 19-19][person:martin m 21-21]
pedro| Yeah he was the best man at their wedding he would know better for sure| [person:gregory m 1-1][person:martin m 7-7][person:gregory m 9-9]
keith| Sounds good tell me what he comes up with| [person:keith m 3-3][person:gregory m 5-5]
pedro| Yeah man I will just get whatever he says I will see you at Martin s place then| [person:pedro m 2-2][person:gregory m 7-7][person:pedro m 9-9][person:keith m 12-12][person:martin m 14-14][location:place s 16-16]

conv:people_2019081901_68:aug_0:chat_0:chataug_0| april beverly| [person:april f 0-0][person:beverly f 1-1]
april| Hello Beverly I ran into Pedro this morning I told him we won t make it for breakfast with him Sarah and the Clarks| [person:beverly f 1-1][person:april f 2-2][person:pedro m 5-5][person:april f 8-8][person:pedro m 10-10][person:we g(april:beverly) 11-11][person:pedro m 19-19][person:sarah f 20-20]
beverly| Thanks I had no idea how to tell them| [person:beverly f 1-1][person:them g(pedro:sarah) 8-8]
april| You re welcome Breakfast is too early anyways So what time will you be free| [person:beverly f 0-0][person:beverly f 12-12]
beverly| I was thinking of waking up late i ve had a rough week Does the afternoon work for you| [person:beverly f 0-0][person:beverly f 7-7][person:april f 18-18]
april| Yeah sounds great Are we going bowling| [person:we g(april:beverly) 4-4]
beverly| Too tired for bowling Let s do something more relaxing like a movie or something|
april| How about we hit the spa That would relax the hell out of us| [person:we g(april:beverly) 2-2][person:we g(april:beverly) 13-13]
beverly| April this is why you are my best friend It s been ages I ve set foot in a spa| [person:april f 0-0][person:april f 4-4][person:beverly f 6-6][person:april f 8-8][person:beverly f 13-13]
april| Brilliant See you there then We ll go for ice cream after that| [person:beverly f 2-2][location:there u 3-3][person:we g(april:beverly) 5-5]
beverly| You are god send Can t wait for it This weekend is going to be a blast| [person:april f 0-0]

conv:people_2019081901_72:aug_0:chat_0:chataug_0| evan harold| [person:evan m 0-0][person:harold m 1-1]
evan| Hey Harold I can t wait to go boating| [person:harold m 1-1][person:evan m 2-2]
harold| Me too Are Willie Matt and Jessie still going| [person:harold m 0-0][person:willie m 3-3][person:matt m 4-4]
evan| Yes they will be there What should we bring| [person:they g(willie:matt) 1-1][location:there u 4-4][person:we g(willie:matt) 7-7]
harold| Well we need to bring rods worms a tackle box a lunch and drinks| [person:we g(willie:matt) 1-1]
evan| Let s divide who gets what|
harold| Okay how about I ask Willie to bring lunch| [person:harold m 3-3][person:willie m 5-5]
evan| Ok I ll all Matt to bring the rods and worms| [person:evan m 1-1][person:matt m 4-4]
harold| I ll tell Jessie to bring the drinks| [person:harold m 0-0]
evan| Sounds like a plan That will be so much fun|
harold| I can t wait to go to the lake See you there 3 PM Tuesday| [person:harold m 0-0][location:lake s 8-8][person:evan m 10-10][location:lake s 11-11]
evan| See you then Harold| [person:harold m 1-1][person:harold m 3-3]

conv:people_2019081901_74:aug_0:chat_0:chataug_0| frances kelly| [person:frances f 0-0][person:kelly f 1-1]
kelly| I ve got the trip almost all planned out Check out my map| [person:kelly f 0-0][person:kelly f 11-11]
frances| This looks really good I think this is going to be a lot of fun| [person:frances f 4-4]
kelly| It will be for sure We always have a great time with Christian Katherine and Rose That s why I thought it would be great to invite them| [person:we g(kelly:frances) 5-5][person:christian m 12-12][person:katherine f 13-13][person:rose f 15-15][person:kelly f 19-19][person:them g(frances:christian:katherine:rose) 27-27]
frances| That was a good idea Sure is nice having neighbors we actually like for a change| [person:we g(kelly:frances) 10-10]
kelly| I know The only thing I want to figure out is the money Like who s exactly paying for what| [person:kelly f 0-0][person:kelly f 5-5]
frances| Yeah that s important It s probably going to add up pretty quickly|
kelly| Right because we need a bunch of stuff Snacks drinks maybe some games| [person:we g(kelly:frances) 2-2]
frances| And we ll have to fill up the car with gas more than a few times I m sure| [person:we g(kelly:frances) 1-1][person:frances f 16-16]
kelly| Maybe we can do it so we take care of all the car stuff and they take care of all the food stuff Do you think that would even out| [person:we g(kelly:frances) 1-1][person:we g(kelly:frances) 6-6][person:they g(christian:katherine:rose) 15-15][person:frances f 24-24]
frances| I think it probably would yeah We should also get the oil checked and make sure the car s good to go| [person:frances f 0-0][person:we g(kelly:frances:christian:katherine:rose) 6-6]

conv:people_2019081901_75:aug_0:chat_0:chataug_0| shawn walter| [person:shawn m 0-0][person:walter m 1-1]
walter| Hi Shawn how are you What are you doing| [person:shawn m 1-1][person:shawn m 4-4][person:shawn m 7-7]
shawn| Hi Walter I am fine thanks And you I m reading a book| [person:walter m 1-1][person:shawn m 2-2][person:walter m 7-7][person:shawn m 8-8]
walter| All right I thought I was going to watch a movie Do you want to come with me| [person:walter m 2-2][person:walter m 4-4][person:shawn m 12-12][person:walter m 17-17]
walter| We could also invite Christopher and Virginia| [person:we g(walter:shawn) 0-0][person:christopher m 4-4][person:virginia f 6-6]
shawn| Good idea It s OK for me When| [person:shawn m 6-6]
walter| I am free in the next few days you are on vacation Are your friends free| [person:walter m 0-0][person:shawn m 8-8][person:shawn m 13-13][person:friends g(christopher:virginia) 14-14]
shawn| Virgina will work until Wednesday Christopher will go on vacation from Tuesday| [person:christopher m 5-5]
walter| Good so Thursday night could be good What do you think about it| [person:shawn m 9-9]
shawn| Yes I guess that s fine Book the 7pm show| [person:shawn m 1-1]
walter| Okay I book the seats You invite your friends See you soon| [person:walter m 1-1][person:shawn m 5-5][person:shawn m 7-7][person:friends g(christopher:virginia) 8-8][person:shawn m 10-10]
shawn| Perfect I ll let you know Thank you see you soon| [person:shawn m 1-1][person:walter m 4-4][person:walter m 7-7][person:walter m 9-9]

