conv:people_chats_04182020_260:aug_0:chat_0:chataug_0| anne klay| [person:anne f 0-0][person:klay m 1-1]
ira| I was thinking of buying it from Nouman s workplace| [person:ira f 0-0][person:nouman m 7-7]
ira| I was wondering if I should take the employee discount on the dress| [person:ira f 0-0][person:ira f 4-4]
sima| I do not think it would be good idea| [person:sima f 0-0]
sima| Beacuase Nouman always asks for a favour in return| [person:nouman m 1-1]
ira| But I really liked that dress and would be happy to wear it| [person:ira f 1-1]
sima| Why not you try asking Niz who also works at the same store| [person:ira f 2-2][person:niz f 5-5]
sima| Niz might also give you same discount| [person:niz f 0-0][person:ira f 4-4]
ira| Oh yeah I completely forgot about Niz| [person:ira f 2-2][person:niz f 6-6]
ira| By the way I just got a text message from Nouman| [person:ira f 3-3][person:nouman m 10-10]
sima| What is Nouman saying now| [person:nouman m 2-2]
ira| Nouman is asking if I still need the dress| [person:nouman m 0-0][person:ira f 4-4]
ira| I am really confused now| [person:ira f 0-0]
ira| I am not sure whom should I ask for discount now| [person:ira f 0-0][person:ira f 6-6]
sima| I would suggest you check with Niz first| [person:sima f 0-0][person:sima f 3-3][person:niz f 6-6]
sima| If Niz is providing same discount as Nouman then ask Niz for favour| [person:niz f 1-1][person:nouman m 7-7][person:niz f 10-10]
ira| Ok Thank you I will check with Niz then| [person:sima f 2-2][person:ira f 3-3][person:niz f 7-7]

conv:people_chats_04182020_413:aug_0:chat_0:chataug_0| mike tiffany| [person:mike m 0-0][person:tiffany f 1-1]
mike| Hey Tiffany do you remember that Brenda is going to stay with us for a week| [person:tiffany f 1-1][person:tiffany f 3-3][person:brenda f 6-6][person:us g(mike:tiffany) 12-12]
tiffany| Yeah of course I remember Mike when will she be arriving here| [person:tiffany f 3-3][person:mike m 5-5][person:brenda f 8-8]
mike| She will be here on this Wednesday I am going to pick her up from the airport| [person:brenda f 0-0][person:mike m 7-7][person:brenda f 12-12]
tiffany| Okay fine what are her favorites in food or is she restricted to outside food| [person:brenda f 4-4][person:brenda f 10-10]
mike| To be honest I have no idea about her likes or dislikes food or otherwise| [person:mike m 3-3][person:brenda f 8-8]
tiffany| Try to remember Mike so that I can cook food based on her taste| [person:mike m 3-3][person:tiffany f 6-6][person:brenda f 12-12]
mike| I remember that she hates anything oily and does not like spicy food| [person:mike m 0-0][person:brenda f 3-3]
tiffany| Okay I ll cook pasta then will that work| [person:tiffany f 1-1]
tiffany| Okay I ll cook pasta then will that work| [person:tiffany f 1-1]
mike| I am not sure but let s see how it goes once she gets here| [person:mike m 0-0][person:brenda f 12-12]

conv:people_chats_04182020_414:aug_0:chat_0:chataug_0| adam karen| [person:adam m 0-0][person:karen f 1-1]
karen| Since your birthday is coming up she was asking what gift you would like| [person:adam m 1-1][person:aunt f 6-6][person:adam m 11-11]
adam| That is sweet of her What do you think we should ask her to get| [person:aunt f 4-4][person:karen f 7-7][person:we g(karen:adam) 9-9][person:aunt f 12-12]
adam| Since she lives in France she could get unique things from the stores she knows| [person:aunt f 1-1][location:france s 4-4][person:aunt f 5-5][person:aunt f 13-13]
karen| Yes She always gets Dad souvenirs when she visits| [person:aunt f 1-1][person:dad m 4-4][person:aunt f 7-7]
karen| Remember the antique what she bought last time| [person:aunt f 4-4]
adam| Of course Dad loved it| [person:dad m 2-2]
karen| Yeah I could ask her to get you a bottle of customized perfume and vintage clothes| [person:karen f 1-1][person:aunt f 4-4][person:adam m 7-7]
adam| Yes Karen That sounds great| [person:karen f 1-1]
karen| Adam are you happy with the products which I am going to tell aunt| [person:adam m 0-0][person:adam m 2-2][person:karen f 8-8][person:aunt f 13-13]
adam| Of course Karen I am happy with that| [person:karen f 2-2][person:adam m 3-3]

conv:people_chats_04182020_416:aug_0:chat_0:chataug_0| jon spencer| [person:jon m 0-0][person:spencer m 1-1]
spencer| Jon I m having a tough time with my inlaws| [person:jon m 0-0][person:spencer m 1-1][person:spencer m 8-8]
jon| What s wrong Spencer You have a very good extended family| [person:spencer m 3-3][person:spencer m 4-4][person:family g() 10-10]
spencer| My wife wants me to spend Thanksgiving with her family| [person:spencer m 0-0][person:wife f 1-1][person:spencer m 3-3][person:wife f 8-8][person:family g() 9-9]
jon| That would be a great family affair It might make things better for you| [person:family g() 5-5][person:spencer m 13-13]
spencer| I don t understand how to introduce the subject to Chanel| [person:spencer m 0-0][person:chanel f 10-10]
jon| She will definitely be hurt by your words because it is her own family| [person:chanel f 0-0][person:spencer m 6-6][person:chanel f 11-11][person:family g() 13-13]
spencer| Indeed to tell her in such a way that she doesn t get hurt| [person:chanel f 3-3][person:chanel f 9-9]
jon| I would suggest you to go with the flow spend time with her family| [person:jon m 0-0][person:spencer m 3-3][person:chanel f 12-12][person:family g() 13-13]
spencer| Jon you don t know my motherinlaw lucy She doesn t like me and once tried to poison my pumpkin pie| [person:jon m 0-0][person:jon m 1-1][person:spencer m 5-5][person:lucy f 7-7][person:lucy f 8-8][person:spencer m 12-12][person:spencer m 18-18]
jon| Oh my God That s a horrible behavior| [person:jon m 1-1]

conv:people_chats_04182020_418:aug_0:chat_0:chataug_0| carol susie| [person:carol f 0-0][person:susie f 1-1]
susie| Hi Carol Remember how we overheard Evelyn and Melinda in the library today| [person:carol f 1-1][person:we g(susie:carol) 4-4][person:evelyn f 6-6][person:melinda f 8-8]
carol| Yes Susie Evelyn was telling Melinda how she could understand the algebra material| [person:susie f 1-1][person:evelyn f 2-2][person:melinda f 5-5][person:evelyn f 7-7]
susie| Imagine if intelligent students like them are unable to understand the subject then how much of a hard time people like us will have| [person:them g(evelyn:melinda) 5-5][person:we g(susie:carol) 21-21]
carol| That is exactly what I was thinking Susie| [person:carol f 4-4][person:susie f 7-7]
susie| Professor has given a material that can t be understood for a difficult chapter like Algebra|
carol| I don t know how we write our exams if things go on like these| [person:carol f 0-0][person:we g(susie:carol) 5-5][person:we g(susie:carol) 7-7]
susie| You re right Carol I ll definitely fail| [person:carol f 0-0][person:carol f 3-3][person:susie f 4-4]
carol| I think 80 of the class will fail Professor will not be happy| [person:carol f 0-0]
susie| I think we should speak to Evelyn and Melinda and decide if it would be a good idea to ask professor to give us simpler material for Algebra| [person:susie f 0-0][person:we g(susie:carol) 2-2][person:evelyn f 6-6][person:melinda f 8-8][person:we g(susie:carol) 23-23]
carol| That s a good idea We will do that tomorrow| [person:we g(susie:carol) 5-5]

conv:people_chats_04182020_419:aug_0:chat_0:chataug_0| fred jean| [person:fred m 0-0][person:jean f 1-1]
jean| Hey Fred How are you doing| [person:fred m 1-1][person:fred m 4-4]
fred| I m doing good Jean How about you| [person:fred m 0-0][person:jean f 4-4][person:jean f 7-7]
jean| Let s adopt a new puppy Fred| [person:fred m 6-6]
fred| Yeah let s adopt one nice breed|
jean| Which breed do you recommend Do you know any| [person:fred m 3-3][person:fred m 6-6]
fred| I don t know anything about it but I think Andrea and Stacy can help us in it as they recently adopted a dog of their own| [person:fred m 0-0][person:fred m 8-8][person:andrea f 10-10][person:stacy f 12-12][person:us g(jean:fred) 15-15][person:they g(andrea:stacy) 19-19][person:they g(andrea:stacy) 25-25]
jean| They recommended us on adopting an older dog| [person:they g(andrea:stacy) 0-0][person:us g(jean:fred) 2-2]
fred| But I want to adopt a puppy because they are so cute| [person:fred m 1-1]
jean| Let s adopt a puppy as well as an older dog|
fred| Okay that is a good idea|

conv:people_chats_04182020_420:aug_0:chat_0:chataug_0| jane rita| [person:jane f 0-0][person:rita f 1-1]
jane| Hey Rita the college is about to begin Have you thought of any career options yet| [person:rita f 1-1][person:rita f 9-9]
rita| I m taking accounting course your also equally good at accounting why dont we join both in accounting| [person:rita f 0-0][person:jane f 5-5][person:we g(jane:rita) 13-13]
jane| I m not interested in accounting dear I want to pursue a career in acting| [person:jane f 0-0][person:jane f 7-7]
rita| Yes dear it s better to follow your heart rather than choosing accounting| [person:jane f 7-7]
jane| But both my dads are giving me a tough time saying that acting is not a good choice in terms of career| [person:jane f 2-2][person:jane f 6-6]
rita| Yes They don t agree with your decision because both of them are accountants| [person:dads g() 1-1][person:jane f 6-6][person:dads g() 11-11]
jane| They can suggest me to be an accountant but cannot force me to take up a course in which I m not interested| [person:jane f 3-3][person:jane f 11-11][person:jane f 19-19]
rita| If you are sure about your acting skills then you can definitely try your luck at acting| [person:jane f 1-1][person:jane f 5-5][person:jane f 9-9][person:jane f 13-13]
jane| I really wonder if I could ever convince them to support my decision| [person:jane f 0-0][person:jane f 4-4][person:dads g() 8-8][person:jane f 11-11]
rita| Don t worry focus on your skills and prove that they are totally wrong| [person:jane f 5-5][person:dads g() 10-10]
jane| I hope that works out because I should not only prove them wrong but also prove my efficiency in pursuing my passion| [person:jane f 0-0][person:jane f 6-6][person:dads g() 11-11][person:jane f 16-16][person:jane f 20-20]
rita| So do you have any specific plans How are you going to convince them| [person:jane f 2-2][person:jane f 9-9][person:dads g() 13-13]
jane| I don t know but they both love me a lot and I strongly believe that they will support me| [person:jane f 0-0][person:dads g() 5-5][person:jane f 8-8][person:jane f 12-12][person:dads g() 16-16][person:jane f 19-19]
rita| Your are their only daughter I don t think they will disagree with your opinion| [person:jane f 0-0][person:dads g() 2-2][person:jane f 4-4][person:rita f 5-5][person:dads g() 9-9][person:jane f 13-13]

conv:people_chats_04182020_422:aug_0:chat_0:chataug_0| cheryl margo| [person:cheryl f 0-0][person:margo f 1-1]
margo| Cheryl are you ready to go to the field trip I think it s going to be very exciting| [person:cheryl f 0-0][person:cheryl f 2-2][person:margo f 10-10]
cheryl| Let s plan for this weekend We will have a wonderful Christmas week| [person:we g(margo:cheryl) 6-6]
margo| Gregory once told me that there is a specific pizza available there We ll try it out once we re there| [person:gregory m 0-0][person:margo f 3-3][person:we g(margo:cheryl) 12-12][person:we g(margo:cheryl) 18-18]
cheryl| Yeah even he told me too It s also has a special topping that is available only in that store| [person:gregory m 2-2][person:cheryl f 4-4]
margo| Alright Let me check about the pizza as well as the location where it is available| [person:margo f 2-2]
cheryl| I hope that won t be a waste of money as boys have good taste| [person:cheryl f 0-0][person:boys g(gregory) 11-11]
margo| Yes It s true I know it very well that they both are a big foodie| [person:margo f 4-4][person:boys g(gregory) 10-10]
cheryl| It will be a pizza weekend for us For a long time I didn t have pizza even| [person:we g(margo:cheryl) 7-7][person:cheryl f 12-12]
margo| Great Even I couldn t eat pizza as I was on diet| [person:margo f 2-2][person:margo f 8-8]
cheryl| I am eagerly waiting for our outing See you soon| [person:cheryl f 0-0][person:we g(margo:cheryl) 5-5][person:margo f 8-8]

conv:people_chats_04182020_423:aug_0:chat_0:chataug_0| eddie lara| [person:eddie m 0-0][person:lara f 1-1]
eddie| Hey Lara Shall we go on a family trip| [person:lara f 1-1][person:we g(eddie:lara) 3-3]
lara| Yeah Eddie That s a good idea We have to plan for the best place where our kids would enjoy| [person:eddie m 1-1][person:we g(eddie:lara) 7-7][location:place s 14-14][person:we g(eddie:lara) 16-16][person:we g(eddie:lara) 17-17]
eddie| What do you say about an amusement park| [person:eddie m 2-2][location:amusement_park s 6-7]
lara| No Eddie As our daughter afraid of the roller coaster I don t feel that would be a good place| [person:eddie m 1-1][person:we g(eddie:lara) 3-3][person:lara f 4-4][person:eddie m 10-10][location:place s 19-19]
eddie| Well That is Okay What do you think of a water park| [person:lara f 6-6][location:park s 11-11]
lara| That s a good one but our son did not like being in the water for too long| [person:we g(eddie:lara) 6-6][person:eddie m 7-7]
eddie| That s fine Do you know the place where Diana and Eddie can enjoy| [person:eddie m 4-4][location:place s 7-7][person:diana f 9-9][person:eddie m 11-11]
lara| I think Universal Studios is the best where our kids can enjoy What do you say Eddie| [person:lara f 0-0][location:universal_studios s 2-3][person:we g(eddie:lara) 8-8][person:we g(eddie:lara) 9-9][person:eddie m 14-14][person:eddie m 16-16]
eddie| Yeah Lara That s a great place Let us plan for it| [person:lara f 1-1][location:place s 6-6][person:we g(eddie:lara) 8-8][location:place s 11-11]
lara| Okay Eddie We will move to that place this Saturday| [person:eddie m 1-1][person:we g(eddie:lara) 2-2][location:place s 7-7]

conv:people_chats_04182020_424:aug_0:chat_0:chataug_0| alice barbara| [person:alice f 0-0][person:barbara f 1-1]
alice| Hey Barbara What are the things you are planing to buy| [person:barbara f 1-1][person:barbara f 6-6]
barbara| I need to get some groceries utensils clothes and some drinks| [person:barbara f 0-0]
alice| Alright You go to the vegetable section and start shopping meanwhile I will try to buy some drinks| [person:barbara f 1-1][person:alice f 11-11]
barbara| Good We can make things fast if we split it up Do you have the cash| [person:alice_and_barbara g(alice:barbara) 1-1][person:alice_and_barbara g(alice:barbara) 7-7][person:alice f 12-12]
alice| Ya I have I think we should get some beers also I am sure that Lucas love beers very much| [person:alice f 1-1][person:alice f 3-3][person:alice_and_barbara g(alice:barbara) 5-5][person:alice f 11-11][person:lucas m 15-15]
barbara| Yes Try to get some champagne also for us After finishing vegetables I will carry on with some meat l| [person:alice_barbara_lucas_and_stacy g(alice:barbara:lucas) 8-8][person:barbara f 12-12]
alice| I was just about to say that Stacy will get annoyed if there are only vegetables| [person:alice f 0-0][person:stacy f 7-7]
barbara| I am aware of that Let make this quick It will take an hour at least| [person:barbara f 0-0]
alice| Fine I will also make it fast Just make sure that we don t miss anything| [person:alice f 1-1][person:alice_and_barbara g(alice:barbara:lucas) 11-11]
barbara| Sure I will come to the counter when I am done with it| [person:barbara f 1-1][person:barbara f 8-8]

conv:people_chats_04182020_425:aug_0:chat_0:chataug_0| ellen jonathan| [person:ellen f 0-0][person:jonathan m 1-1]
ellen| Jonathan dad s birthday is on the way what shall we do to make him feel special| [person:jonathan m 0-0][person:dad m 1-1][person:we g(ellen:jonathan) 10-10][person:dad m 14-14]
jonathan| I was thinking about that too he has had a hard year we should try to make him feel good| [person:jonathan m 0-0][person:dad m 6-6][person:we g(ellen:jonathan) 12-12][person:dad m 17-17]
ellen| How about we cook his favourite food and present him the gift he always wanted| [person:we g(ellen:jonathan) 2-2][person:dad m 4-4][person:dad m 9-9][person:dad m 12-12]
jonathan| I know what kind of food he likes but do you know what gift he would want| [person:jonathan m 0-0][person:dad m 6-6][person:ellen f 10-10][person:dad m 14-14]
ellen| I don t know either but I think dad s friends Jim and Terry can help us in this situation| [person:ellen f 0-0][person:ellen f 6-6][person:dad m 8-8][person:friends g() 10-10][person:jim m 11-11][person:terry m 13-13][person:we g(ellen:jonathan) 16-16]
jonathan| That is a good idea but I think talking to Terry will be enough| [person:jonathan m 6-6][person:terry m 10-10]
ellen| Fine I ll meet uncle Terry and ask him about dad s favourite things| [person:ellen f 1-1][person:terry m 5-5][person:terry m 8-8][person:dad m 10-10]
jonathan| Okay I will try to make his favourite dishes| [person:jonathan m 1-1][person:dad m 6-6]
ellen| Okay I ll go to him in the evening| [person:ellen f 1-1][person:terry m 5-5]
jonathan| Great we will make this a memorable day for dad| [person:we g(ellen:jonathan) 1-1][person:dad m 9-9]

conv:people_chats_04182020_426:aug_0:chat_0:chataug_0| raymond samantha| [person:raymond m 0-0][person:samantha f 1-1]
samantha| Hey Raymond Have you noticed our neighbors garden| [person:raymond m 1-1][person:raymond m 3-3][person:sr g(samantha:raymond) 5-5][person:neighbors g() 6-6]
raymond| Yeah Samantha I had observed that they had a lovely rose garden but a poorly mowed lawn| [person:samantha f 1-1][person:raymond m 2-2][person:neighbors g() 6-6][location:rose_garden s 10-11]
samantha| We will approach Tim and Cynthia to know their gardening secrets Through that we can get to know the tips for a beautiful garden| [person:sr g(samantha:raymond) 0-0][person:tim m 3-3][person:cynthia f 5-5][person:tc g() 8-8][person:sr g(samantha:raymond) 13-13]
raymond| Yes Samantha But we can t approach them directly as they belong to minster s family| [person:samantha f 1-1][person:sr g(samantha:raymond) 3-3][person:tc g(tim:cynthia) 7-7][person:tc g(tim:cynthia) 10-10][person:minister_family g() 15-15]
samantha| Yeah Raymond One of my friends was their relative we can proceed by him| [person:raymond m 1-1][person:samantha f 4-4][person:friend m 5-5][person:tc g(tim:cynthia) 7-7][person:sr g(samantha:raymond) 9-9][person:friend m 13-13]
raymond| That s a good one Samantha Catch up on your friend and get the details to approach them| [person:samantha f 5-5][person:samantha f 9-9][person:friend m 10-10][person:tc g(tim:cynthia) 17-17]
samantha| Okay Raymond I texted my friend and he replied that he is coming to Tim and Cynthia s home tomorrow| [person:raymond m 1-1][person:samantha f 2-2][person:samantha f 4-4][person:friend m 5-5][person:friend m 7-7][person:friend m 10-10][person:tim m 14-14][person:cynthia f 16-16]
raymond| That s a better choice Samantha We can meet them by a friendly manner| [person:samantha f 5-5][person:sr g(samantha:raymond) 6-6][person:tc g(tim:cynthia) 9-9]
samantha| That Sounds good Let us meet them tomorrow| [person:sr g(samantha:raymond) 4-4][person:tc g(tim:cynthia) 6-6]
raymond| Okay Samantha We look forward to talking to them| [person:samantha f 1-1][person:sr g(samantha:raymond) 2-2][person:tc g(tim:cynthia) 8-8]

conv:people_chats_04182020_428:aug_0:chat_0:chataug_0| cheryl jade| [person:cheryl f 0-0][person:jade f 1-1]
jade| Hi Cheryl There is a birthday party of mine this Sunday| [person:cheryl f 1-1][location:birthday_party s 5-6][person:jade f 8-8]
cheryl| Oh That s nice to hear But were the party is going to be| [location:birthday_party s 9-9]
jade| I planned it to have on a sailing boat with closest friends and family| [person:jade f 0-0][location:birthday_party s 2-2][person:friends g(cheryl) 11-11][person:family g() 13-13]
cheryl| Oh That s great Did you plan anything else for that day| [person:jade f 5-5]
jade| Yeah I planned to share about my dating with Russell| [person:jade f 1-1][person:jade f 6-6][person:russell m 9-9]
cheryl| Are you mad I think it s a bad idea and not a correct place to tell about it| [person:jade f 1-1][person:cheryl f 3-3][location:place s 14-14]
jade| I feel that it s the right time to share about this to all| [person:jade f 0-0]
cheryl| No Making such an announcement might make your family members feel embraced| [person:jade f 7-7][person:family g() 8-8]
jade| Yeah that s a valid point Then I shall first tell about the dating to my parents| [person:jade f 7-7][person:jade f 15-15][person:parents g() 16-16]
cheryl| Yeah Do that because that s a better option than the previous one|

conv:people_chats_04182020_429:aug_0:chat_0:chataug_0| kathy lena| [person:kathy f 0-0][person:lena f 1-1]
kathy| Hi Lena do you have time to talk business| [person:lena f 1-1][person:lena f 3-3]
lena| Hi Kathy how are things going| [person:kathy f 1-1]
lena| Yes I have time to talk business right now Is this about the nail salon| [person:lena f 1-1]
kathy| Yes I found two great manicurists we can hire for our grand opening next month| [person:kathy f 1-1][person:we g(kathy:lena) 6-6][person:we g(kathy:lena) 10-10]
kathy| Their names are Melanie and Ruth and they are both nail professionals with a lot of experience| [person:their g() 0-0][person:melanie f 3-3][person:ruth f 5-5][person:their g(melanie:ruth) 7-7]
lena| That s amazing I m so glad you found someone| [person:lena f 3-3][person:kathy f 7-7][person:someone u 9-9]
lena| Do they know we are opening a new nail salon and that they will be our lead manicurists| [person:their g(melanie:ruth) 1-1][person:we g(kathy:lena) 3-3][person:their g(melanie:ruth) 12-12][person:we g(kathy:lena) 15-15]
kathy| Yes I explained the situation to both Melanie and Ruth They are both excited to get in on the ground floor with us| [person:kathy f 1-1][person:melanie f 7-7][person:ruth f 9-9][person:their g(melanie:ruth) 10-10][person:we g(kathy:lena) 22-22]
kathy| The last step is for you to formally interview both of them| [person:lena f 5-5][person:their g(melanie:ruth) 11-11]
lena| That s a great idea I will contact them later today and set up the interviews| [person:lena f 5-5][person:their g(melanie:ruth) 8-8]
lena| Do you want to be there when I interview them| [person:kathy f 1-1][person:lena f 7-7][person:their g(melanie:ruth) 9-9]
kathy| No I trust your judgement If it goes well let s sign the paperwork and hire them| [person:kathy f 1-1][person:lena f 3-3][person:their g(melanie:ruth) 16-16]
lena| Sounds great I will let you know when it s completed I ve got to go Anything else you want to talk about| [person:lena f 2-2][person:kathy f 5-5][person:lena f 11-11][person:kathy f 18-18]
kathy| Nope I just can t wait until we open the salon I ll talk to you later bye| [person:kathy f 1-1][person:we g(kathy:lena) 7-7][person:kathy f 11-11][person:lena f 15-15]
lena| See you later Kathy bye| [person:kathy f 1-1][person:kathy f 3-3]

conv:people_chats_04182020_433:aug_0:chat_0:chataug_0| cynthia marvin| [person:cynthia f 0-0][person:marvin m 1-1]
marvin| Hi Cynthia Let s plan a trip for the following summer| [person:cynthia f 1-1]
cynthia| Hey Cynthia that s sounds like a great idea Europe is a beautiful place where we can go| [person:cynthia f 1-1][location:europe s 9-9][location:europe s 13-13][person:we g(marvin:cynthia) 15-15]
marvin| That s a good idea Which countries should we visit| [location:countries g() 6-6][person:we g(marvin:cynthia) 8-8]
cynthia| How about Italy or Belgium They are very famous| [location:italy s 2-2][location:belgium s 4-4]
marvin| Or we could ask mom and dad where to go because they ve been to Europe many times| [person:we g(marvin:cynthia) 1-1][person:mom f 4-4][person:dad m 6-6][person:they g(mom:dad) 11-11][location:europe s 15-15]
cynthia| I spoke to them they suggested to go to Spain| [person:cynthia f 0-0][person:they g(mom:dad) 3-3][person:they g(mom:dad) 4-4][location:spain s 9-9]
marvin| But don t you think England will be more fun| [person:cynthia f 3-3][location:england s 5-5]
cynthia| Yeah I agree We should spend some time in England| [person:cynthia f 1-1][person:we g(marvin:cynthia) 3-3][location:england s 9-9]
marvin| Alright let s go to England and Spain| [location:england s 5-5][location:spain s 7-7]
cynthia| Yeah that s sounds great I m very excited for the trip| [person:cynthia f 5-5]

conv:people_chats_04182020_434:aug_0:chat_0:chataug_0| billy connor| [person:billy m 0-0][person:connor m 1-1]
billy| Hey Connor where are you and at what time are you coming| [person:connor m 1-1][person:connor m 4-4][person:connor m 10-10]
connor| I m leaving now I ll reach your place in few minutes| [person:connor m 0-0][person:connor m 4-4][person:billy m 7-7][location:place s 8-8]
billy| Okay did you buy anything for our friend Angela| [person:connor m 2-2][person:our g(billy:connor) 6-6][person:angela f 7-7][person:angela f 8-8]
connor| Yeah I bought a teddy bear for her| [person:connor m 1-1][person:angela f 7-7]
billy| No Connor that won t work as I spoke to Angela s girlfriend Jen and she said that buying a teddy bear isn t a good idea| [person:connor m 1-1][person:billy m 7-7][person:angela f 10-10][person:jen f 12-12][person:jen f 13-13][person:jen f 15-15]
connor| Oh I didn t know about it Okay let s go to the store near to the hospital and buy cards and presents for them| [person:connor m 1-1][location:hospital s 17-17][person:them g(angela:jen) 24-24]
billy| Okay that would be a great idea and at what time you will be coming here| [person:connor m 11-11]
connor| Most probably I ll be there in another 30 minutes| [person:connor m 2-2]
billy| Okay I ll be waiting for you| [person:billy m 1-1][person:connor m 6-6]
connor| Yeah see you soon Billy| [person:billy m 2-2][person:billy m 4-4]

conv:people_chats_04182020_437:aug_0:chat_0:chataug_0| mike ralph| [person:mike m 0-0][person:ralph m 1-1]
mike| Hey Ralph What are you doing| [person:ralph m 1-1][person:ralph m 4-4]
ralph| I m busy thinking about the block party Mike I don t understand what to do| [person:ralph m 0-0][location:party s 7-7][person:mike m 8-8][person:ralph m 9-9]
mike| We have to think something about block party or else it will be a big mess| [person:we g(mike:ralph) 0-0][location:party s 7-7][location:party s 10-10]
ralph| I know but what shall we do We are only two of them and there s lots of work to do| [person:ralph m 0-0][person:we g(mike:ralph) 5-5][person:we g(mike:ralph) 7-7]
mike| I think we can get some help from our neighbours Judith and Sydney to set it up| [person:mike m 0-0][person:we g(mike:ralph) 2-2][person:we g(mike:ralph) 8-8][person:judith f 10-10][location:sydney s 12-12][location:sydney s 15-15]
ralph| Yeah that s a great idea but do you think that they will assist us in organizing the party| [person:mike m 8-8][person:they g(judith:sydney) 11-11][person:we g(mike:ralph) 14-14][location:party s 18-18]
mike| Yeah I think they will be a great asset in assisting| [person:mike m 1-1][person:they g(judith:sydney) 3-3]
ralph| Okay fine Can you please request them to help us| [person:mike m 3-3][person:they g(judith:sydney) 6-6][person:we g(mike:ralph) 9-9]
mike| Yeah sure I will ask them and let you know| [person:mike m 2-2][person:they g(judith:sydney) 5-5][person:ralph m 8-8]
ralph| Okay Thanks a lot Mike| [person:mike m 4-4]

conv:people_chats_04182020_438:aug_0:chat_0:chataug_0| jeremy judith| [person:jeremy m 0-0][person:judith f 1-1]
jeremy| Hey Judith What are you doing| [person:judith f 1-1][person:judith f 4-4]
judith| I was just being nostalgic looking at my high school pictures| [person:judith f 0-0][person:judith f 7-7][location:high_school s 8-9]
jeremy| Those were good time weren t they| [person:they g(jeremy:judith) 6-6]
judith| Yeah I miss having fun with my best friends| [person:judith f 1-1][person:they g(jeremy:judith) 6-6][person:they g(jeremy:judith) 8-8]
jeremy| Of course By the way who are your best friends| [person:jeremy m 7-7][person:friends g() 9-9]
judith| Their names are Jasmine Zoey and Julia I miss them a lot| [person:friends g() 0-0][person:jasmine f 3-3][person:zoey f 4-4][person:julia f 6-6][person:judith f 7-7][person:friends g(jasmine:zoey:julia) 9-9]
jeremy| Why don t you keep in touch with them through facetime| [person:judith f 3-3][person:friends g(jasmine:zoey:julia) 8-8]
judith| That is a great idea Jeremy Thank you| [person:jeremy m 5-5][person:jeremy m 7-7]
jeremy| I am glad that you re happy Judith| [person:jeremy m 0-0][person:judith f 4-4][person:judith f 7-7]
judith| I ll facetime them right now| [person:judith f 0-0][person:friends g(jasmine:zoey:julia) 3-3]

conv:people_chats_04182020_439:aug_0:chat_0:chataug_0| leslie marie| [person:leslie f 0-0][person:marie f 1-1]
leslie| Hey Marie Let s plan to go to the Post Malone concert this evening| [person:marie f 1-1][person:not_a_person u 10-10]
marie| No Leslie I am too sick to attend it| [person:leslie f 1-1][person:marie f 2-2]
leslie| But I m not going to go without you| [person:leslie f 1-1][person:marie f 8-8]
marie| Why don t you ask Danielle and April to go with you| [person:leslie f 3-3][person:danielle f 5-5][person:april f 7-7][person:leslie f 11-11]
leslie| I would but they do not like Post Malone| [person:leslie f 0-0][person:they g(danielle:april) 3-3][person:not_a_person u 8-8]
marie| Yeah they won t like it So don t tell them it s his concert| [person:they g(danielle:april) 1-1][person:they g(danielle:april) 10-10][person:not_a_person u 13-13]
leslie| Alright I ll them it is a Carrie Underwood concert instead| [person:leslie f 1-1][person:they g(danielle:april) 3-3][person:not_a_person u 7-7]
marie| That is pretty good they will definitely join you| [person:they g(danielle:april) 4-4][person:leslie f 8-8]
leslie| Yeah please make sure you don t tell them anything either| [person:marie f 4-4][person:they g(danielle:april) 8-8]
marie| I won t tell them anything Have fun| [person:marie f 0-0][person:they g(danielle:april) 4-4]

conv:people_chats_04182020_440:aug_0:chat_0:chataug_0| agnes patty| [person:agnes f 0-0][person:patty f 1-1]
patty| Hey Agnes did you prepare for tomorrow s exam| [person:agnes f 1-1][person:agnes f 3-3]
agnes| Yeah Patty I m all set for tomorrow What about you| [person:patty f 1-1][person:agnes f 2-2][person:patty f 10-10]
patty| Me too Can you do me a favor| [person:patty f 0-0][person:agnes f 3-3][person:patty f 5-5]
agnes| Sure How can I help you| [person:agnes f 3-3][person:patty f 5-5]
patty| Can you bring me extra pencils for the exam| [person:agnes f 1-1][person:patty f 3-3]
agnes| Why can t you ask Kenneth or Juliet if they have extra| [person:patty f 3-3][person:kenneth m 5-5][person:juliet f 7-7][person:they g(kenneth:juliet) 9-9]
patty| I asked Juliet she said that she only has one| [person:patty f 0-0][person:juliet f 2-2][person:juliet f 3-3][person:juliet f 6-6]
agnes| What about Kenneth Did you ask him| [person:kenneth m 2-2][person:patty f 4-4][person:kenneth m 6-6]
patty| No I don t really get along with Kenneth so I decided not to ask him| [person:patty f 1-1][person:kenneth m 8-8][person:patty f 10-10][person:kenneth m 15-15]
agnes| Alright I ll bring extra pencils| [person:agnes f 1-1]

conv:people_chats_04182020_441:aug_0:chat_0:chataug_0| jarvis kenedy| [person:jarvis m 0-0][person:kenedy m 1-1]
jarvis| Hey man can you believe it| [person:kenedy m 3-3]
kenedy| What is it this time|
kenedy| I can t deal with this cryptic stuff| [person:kenedy m 0-0]
jarvis| You haven t heard| [person:kenedy m 0-0]
